Day fraction since midnight on 1/18/2021,2-3 um,3-5 um,5-9 um,9-17 um,17-33 um,33-65 um,Turb settled w/ blanket (),Time Elapsed (Hours)
0.347812372,95.13,39.74,15.29,2.62,0.06,0,0.074994309,-9.05491266
0.353596803,4.19,2.28,1.46,0.47,0.16,0,0.139724492,-8.916086321
0.359384125,227.87,493.93,2299.37,3006.05,537.33,293.28,0.117483866,-8.777190598
0.365171166,1591.61,1818.1,1495.96,354.95,77.17,22.76,0.102865658,-8.638301609
0.370958177,5624.35,7626.52,7794.08,2112.32,561.65,266.51,0.097518987,-8.499413359
0.376745232,4509.39,8444.04,12635.27,2969.51,442.13,134.49,0.090637137,-8.360524025
0.382532426,5.64146E+12,5.64153E+12,645.3100428,165.21,21.15,4.330041041,0.085989833,-8.221631374
0.388319585,5426,-2.42E+22,11911.46,1614.62,120.71,13.77,0.103068907,-8.08273957
0.394106674,6053.08,10499.31,11316.1,1269.75,74.59,5.53,4.000615233,-7.943849422
0.399893728,2634.83,4154.26,7429.94,2907.64,1070.74,523.83,5.531104396,-7.804960126
0.405680771,341347.64,9451.09,11815.47,1333.5,65.54,5.949999991,3.644939635,-7.666071106
0.411467811,5.26,3.98,3.06,0.54,0.06,0,2.691390395,-7.527182141
0.417254853,0,0,0,0,0,0,2.218401976,-7.388293118
0.423041898,1170.41,817.35,807.83,304.41,66.79,7.3,1.541884441,-7.249404058
0.428829221,3008.01,2070.56,1900.73,601.44,98.7,6.71,0.984485687,-7.110508286
0.43461646,2358.92,1584.23,1387.98,401.11,59.39,3.65,0.725686741,-6.971614572
0.440403528,2035.32,1358.85,1159.47,307.73,40.47,2.05,0.603107474,-6.832724921
0.446190572,1951.09,1310.75,1102.15,270.11,31.12,1.35,0.56117489,-6.693835867
0.451977781,2002.8,1364.01,1142.4,262.81,26.07,1,0.555989894,-6.554942861
0.457764957,2007.57,1371.69,1151.05,256.04,23.15,0.89,0.544093671,-6.416050644
0.463552028,2253.13,1562.61,1333.83,299.21,27.07,0.9,0.595509846,-6.277160935
0.469339163,2764.43,1963.65,1739.94,404.35,39.51,1.1,0.698523874,-6.13826969
0.475126306,1.59E+27,3.70E+17,2404.63,596.66,65.81,2.63,0.912271352,-5.999378263
0.48091337,2029.09,1410.159916,1196.21,263.52,26.36,2.00E+35,0.592669861,-5.860488725
0.486700441,1230.02,833.27,664.68,139.65,13.96,0.75,0.369814391,-5.721599011
0.492487527,1252.300042,851.67,697.22,156.58,17.82,1.90556E+15,0.382804222,-5.582708954
0.498274593,1479.55,1014.38,841.11,190.92,22.73,1.05,0.43741869,-5.443819363
0.504061651,1362.46,933.6400417,768.37,171.58,19.39,-9.24681E+12,0.408835127,-5.304929978
0.509848755,1315.5,904.22,737.76,163.63,19.42,1,0.392540738,-5.166039487
0.515635956,1062.390126,722.94,586.35,129.99,15.93,0.91996563,0.337588954,-5.027146668
0.521423095,1314.09,892.76,728.87,155.75,16.45,1.625,0.378829703,-4.888255322
0.527210191,1320.389958,901.3299583,736.54,156.24,17.58,1.03,0.394695421,-4.749365021
0.532997276,1287.03,879.0400001,710.9600001,151.7700001,16.8700001,1.0000001,0.381124659,-4.610474981
0.53878437,1062.859958,722.26,568.96,115.31,12.33,0.92,0.329511238,-4.471584718
0.544571444,800.01,536.81,414.19,81.41,8.44,0.46,0.254292607,-4.332694954
0.550358533,636.86,422.47,318.77,63.95,7.23,0.55,0.219030668,-4.193804798
0.556145755,530.84,349.94,261.96,53.78,6.85,0.55,0.202287583,-4.054911487
0.561932917,428.72,277.65,205.01,42.3,5.27,0.36,0.173789226,-3.916019597
0.567720027,345.92,219.27,158.73,33.19,4.54,4.06E+27,0.157214689,-3.777128952
0.573507108,303.59,187.59,133.27,28.52,3.64,0.26,0.146494131,-3.638239006
0.579294186,253.12,152.14,103.75,21.98,2.84,0.08,0.130129964,-3.499349141
0.585081287,214.42,124.62,82.55,17.24,2.26,1267015352,0.123147097,-3.360458722
0.590868376,195.39,107.88,68.23,13.62,1.58,0,0.117364592,-3.221568581
0.596655544,179.22,96.24,59.75,12.05,1.04,0,0.110940038,-3.082676542
0.602442683,170.44,88.91,54.22,11.94,1.43,0,0.109980614,-2.943785206
0.608251776,157.25,79.13,48.98,12.11,1.76,0.09,0.115960942,-2.804366978
0.614074727,149.26,74.05,47.57,12.7,2.4,0.07,0.110311252,-2.66461614
0.619861791,142.6,69.43,44.83,12.81,2.36,0.1,0.111092256,-2.525726616
0.62564885,134.01,65.47,42.69,12.76,2.25,0,0.107871292,-2.386837205
0.631435958,134.5,65.65,43.19,13.47,2.54,0.1,0.111694823,-2.247946615
0.637223148,129.2,62.36,39.83,11.91,2.09,0.1,0.10546994,-2.109054058
0.643010329,123.13,57.95,34.55,9.7,1.27,0,0.095195007,-1.970161709
0.648797448,122.23,58.19,34.66,10.08,1.38,5.84E+33,0.10188411,-1.831270843
0.654584536,128.53,61.44,40.5,13.74,2.55,0,0.119769865,-1.692380738
0.660371604,127.33,61.42,40.26,14.37,2.55,0.05,0.135607325,-1.553491097
0.666158662,123.37,59.28,39.09,12.89,2.3,0.11,0.105393997,-1.414601707
0.671945714,116.5,54.28,32.88,9.84,1.48,-2.31E+18,0.092501059,-1.275712469
0.677732831,112.43,51.67,31.22,8.88,1.35,0,0.096622108,-1.136821646
0.683519992,163.69,74.33,48.77,17.98,3.86,0.66,0.137363364,-0.997929799
0.689307124,1098.68,536.85,460.82,210.79,51.25,9.37,1.180835284,-0.859038634
0.695094235,7.39E+17,1108.869958,937.56,409.14,90.5,14.03,2.437561577,-0.720147958
0.700881333,2518.66,1243.06,1032.57,432.01,92.03,14.76,2.619423112,-0.581257601
0.706668421,2454.79,1185.17,962.51,394.07,80.99,13.15,2.498663383,-0.442367501
0.712455495,2368.28,1119.38,890.31,351.58,75.55,12.92,2.341392274,-0.303477725
0.718242603,2149.32,990.02,771.89,311.34,71.38,13.8,2.191100959,-0.16458714
0.724029775,1948.2,872.17,677.8,272.82,65.03,13.72,1.919928096,-0.02569499
0.729816916,1808.102041,796.2653061,610.4081633,246.3673469,58.39795918,13.17346939,1.799674444,0.113196386
0.735604033,1676.424242,725.8181818,548.1818182,217.6666667,52.42424242,12.07070707,1.653880858,0.252087187
0.741391134,1566.66,669.44,502,201.26,48.73,12.29,1.618023584,0.390977609
0.747178222,1472.72,620.58,466.39,183.42,44.96,11.24,1.487009124,0.529867723
0.7529653,1406.959596,591.5959597,444.2121213,176.5050506,43.70707081,10.88888899,1.39889947,0.6687576
0.758752395,1328.12,556.52,421.87,166.97,41.85,10.99,1.386625925,0.807647873
0.764539579,1233.242424,515.7474747,391.2929293,158.1010101,39.8989899,10.8728186,1.308043471,0.946540291
0.770326744,1159.747475,486.1515152,371.6666667,148.5858586,37.16161616,10.55555556,1.233308059,1.085432266
0.77611388,1089.74,459.45,353.5,139.66,33.62,9.57,1.191136582,1.22432352
0.781900994,1036.151515,438.0909091,337.0808081,133.5757576,31.56565657,8.919191919,1.068899342,1.363214256
0.787688093,990.6262626,421.3434343,329.020202,128.7474747,31.09090909,8.818181818,1.102664285,1.502104632
0.79347518,958.66,411.72,320.98,126.2,29.26,8.74,1.027389187,1.640994713
0.799262265,904.82,386.49,302.73,118.37,26.59,8.09,0.984225275,1.779884753
0.80504943,843.5151515,363.6363636,285.4343434,109.979798,25.64646465,7.919191919,0.944023683,1.918776713
0.810836593,797.9278351,346.1958763,277.4639175,106.4845361,24.01030928,7.525773196,0.881027515,2.057668639
0.816623732,766.4,337.5,273.38,106.81,23.76,7.49,0.852591408,2.196559973
0.822410845,731.29,327.36,264.9,102.68,21.69,6.78,0.819908846,2.33545069
0.828197946,706.8877551,317.744898,260.7959184,99.28571429,20.60204082,6.581632653,0.811034341,2.474341111
0.833985031,678.57,310.04,256.88,97.06,20.01,6.62,0.770753085,2.613231137
0.839772111,652.5757578,304.1919194,254.3838386,96.44444465,19.77777798,6.929293131,0.767205562,2.752121057
