Day fraction since midnight on 1/29/2021	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Q floc hopper add term ()	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	Large Scale ()	PC1 & 2 pump #2 ()	Count states ()	Small Scale ()
0.49258786	25.13707542	6.99639273	1.22	76.18257261	61.25561798	0	0	14.14507772	3.6345	6.12	1.2655	0	0.0455	0.0801689	0.07359654	0.84820394	153837.6659	108	40	22	4	0	0	99	100	174	111	41	22	4	0	0	98	100	179	0.03913791	0.04462146	90.26651001	0.04892583	3273	0.81333333	0	670.7
0.49264572	25.21146774	6.99649286	1.22	76.18257261	61.25561798	0	0	14.14507772	3.6345	6.12	1.2655	0	0.0455	0.0801689	0.07359654	0.84820394	153842.6571	108	40	22	4	0	0	99	100	174	111	41	22	4	0	0	98	100	179	0.03975385	0.0452094	90.14440918	0.04900911	3273	0.81333333	0	670.7
0.49270361	25.18772888	6.99629402	1.22	76.18257261	61.25561798	0	0	14.14507772	3.6345	6.12	1.2655	0	0.0455	0.08026235	0.07303521	0.84820394	153846.111	104	39	19	3	0	0	99	100	165	111	41	22	4	0	0	98	100	179	0.03975385	0.0452094	90.14440918	0.04902297	3272.8	0.81333333	0	670.7
0.49276149	25.20859146	6.99629498	1.22	76.18257261	61.25561798	0	0	14.14507772	3.6345	6.12	1.2655	0	0.0455	0.07923165	0.07303521	0.84820394	153850.3364	104	39	19	3	0	0	99	100	165	111	41	20	2	0	0	98	100	175	0.04015728	0.04548198	90.08785248	0.04892637	3272.8	0.81333333	0	670.7
0.49281937	25.17065048	6.99640894	1.22	76.18257261	61.25561798	0	0	14.14507772	3.6345	6.12	1.2655	0	0.0455	0.07923165	0.07303521	0.84820394	153854.7499	104	39	19	3	0	0	99	100	165	111	41	20	2	0	0	98	100	175	0.04015728	0.04548198	90.08785248	0.0489347	3272.8	0.81333333	0	670.7
0.49287723	25.13417625	6.99645042	1.22	76.18257261	61.25561798	0	0	14.14507772	3.6345	6.12	1.2655	0	0.0455	0.07935788	0.07235733	0.84820394	153858.9734	104	39	19	3	0	0	99	100	165	111	41	20	2	0	0	98	100	175	0.03917484	0.04468266	90.25379181	0.04868469	3272.8	0.81333333	0	670.7
0.49293509	25.16456985	6.99622869	1.22	76.18257261	61.25561798	0	0	14.14507772	3.6345	6.12	1.2655	0	0.0455	0.07935788	0.07235733	0.84820394	153867.6281	99	40	21	4	0	0	99	100	165	111	41	20	2	0	0	98	100	175	0.04005337	0.04545651	90.09313202	0.04858417	3272.8	0.81333333	0	670.7
0.49299296	25.13494873	6.9963522	1.22	76.18257261	61.25561798	0	0	14.14507772	3.6345	6.12	1.2655	0	0.0455	0.08028597	0.07235733	0.84820394	153872.4282	99	40	21	4	0	0	99	100	165	112	42	21	4	0	0	98	100	179	0.04005337	0.04545651	90.09313202	0.04862226	3272.8	0.81333333	0	670.7
0.49305084	25.15915489	6.9964447	1.22	76.18257261	61.25561798	0	0	14.14507772	3.6345	6.12	1.2655	0	0.0455	0.08028597	0.07235733	0.84820394	153876.2679	101	40	22	3	0	0	99	100	166	112	42	21	4	0	0	98	100	179	0.04005337	0.04545651	90.09313202	0.04851592	3272.6	0.81333333	0	670.7
0.4931087	25.17832947	6.99634838	1.22	76.18257261	61.25561798	0	0	14.14507772	3.6345	6.12	1.2655	0	0.0455	0.08058984	0.07239294	0.84820394	153880.6812	101	40	22	3	0	0	99	100	166	112	42	21	4	0	0	98	100	179	0.03943839	0.04483776	90.22157288	0.04844166	3272.6	0.81333333	0	670.7
