Day fraction since midnight on 2/1/2021	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Q floc hopper add term ()	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	Large Scale ()	PC1 & 2 pump #2 ()	Count states ()	Small Scale ()
0.00011651	42.41167068	6.99663925	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.13077462	3.61143279	0.84820394	7860.40467691	1423.00000000	608.00000000	604.00000000	451.00000000	223.00000000	52.00000000	98.00000000	100.00000000	3367.00000000	852.00000000	294.00000000	299.00000000	188.00000000	62.00000000	24.00000000	98.00000000	100.00000000	1721.00000000	0.01229089	0.03451291	92.39194489	100.97973633	0.00000000	0.81333333	1.00000000	313.50000000
0.00014304	42.42015839	6.99666977	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.09348667	3.52761173	0.84820394	7870.77042389	1423.00000000	608.00000000	604.00000000	451.00000000	223.00000000	52.00000000	98.00000000	100.00000000	3367.00000000	852.00000000	294.00000000	299.00000000	188.00000000	62.00000000	24.00000000	98.00000000	100.00000000	1721.00000000	0.01497499	0.03730329	91.80028534	101.09051514	0.00000000	0.81333333	1.00000000	313.40000000
0.00023669	42.42824173	6.99676943	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.09348667	3.52761173	0.84820394	7870.77042389	1423.00000000	608.00000000	604.00000000	451.00000000	223.00000000	52.00000000	98.00000000	100.00000000	3367.00000000	852.00000000	294.00000000	299.00000000	188.00000000	62.00000000	24.00000000	98.00000000	100.00000000	1721.00000000	0.01497499	0.03730329	91.80028534	101.09051514	0.00000000	0.81333333	1.00000000	313.40000000
0.00025878	42.42395020	6.99669456	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.26525366	3.52761173	0.84820394	7881.13816977	1418.00000000	597.00000000	607.00000000	445.00000000	225.00000000	55.00000000	98.00000000	100.00000000	3351.00000000	838.00000000	288.00000000	306.00000000	189.00000000	63.00000000	26.00000000	98.00000000	100.00000000	1711.00000000	0.01280588	0.03612585	92.04947662	101.00195312	0.00000000	0.81333333	1.00000000	313.40000000
0.00035664	42.44518280	6.99657202	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.26525366	3.52761173	0.84820394	7881.13816977	1418.00000000	597.00000000	607.00000000	445.00000000	225.00000000	55.00000000	98.00000000	100.00000000	3351.00000000	838.00000000	288.00000000	306.00000000	189.00000000	63.00000000	26.00000000	98.00000000	100.00000000	1711.00000000	0.01280588	0.03612585	92.04947662	101.00195312	0.00000000	0.81333333	1.00000000	313.40000000
0.00037455	42.43925476	6.99660206	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.32814777	3.92923665	0.84820394	7891.51990986	1427.00000000	606.00000000	616.00000000	467.00000000	236.00000000	55.00000000	98.00000000	100.00000000	3411.00000000	838.00000000	288.00000000	306.00000000	189.00000000	63.00000000	26.00000000	98.00000000	100.00000000	1711.00000000	0.01352084	0.03618919	92.03605652	101.17711639	0.00000000	0.81333333	1.00000000	313.30000000
0.00047663	42.45463181	6.99710464	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.32814777	3.92923665	0.84820394	7891.51990986	1427.00000000	606.00000000	616.00000000	467.00000000	236.00000000	55.00000000	98.00000000	100.00000000	3411.00000000	838.00000000	288.00000000	306.00000000	189.00000000	63.00000000	26.00000000	98.00000000	100.00000000	1711.00000000	0.01352084	0.03618919	92.03605652	101.17711639	0.00000000	0.81333333	1.00000000	313.30000000
0.00049028	42.45346451	6.99690247	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.35352707	3.92923665	0.84820394	7901.88565636	1427.00000000	606.00000000	616.00000000	467.00000000	236.00000000	55.00000000	98.00000000	100.00000000	3411.00000000	838.00000000	288.00000000	306.00000000	189.00000000	63.00000000	26.00000000	98.00000000	100.00000000	1711.00000000	0.01179725	0.03622701	92.02804565	101.19226074	0.00000000	0.81333333	1.00000000	313.30000000
0.00059662	42.45684052	6.99686909	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.35352707	3.92923665	0.84820394	7901.88565636	1427.00000000	606.00000000	616.00000000	467.00000000	236.00000000	55.00000000	98.00000000	100.00000000	3411.00000000	838.00000000	288.00000000	306.00000000	189.00000000	63.00000000	26.00000000	98.00000000	100.00000000	1711.00000000	0.01179725	0.03622701	92.02804565	101.19226074	0.00000000	0.81333333	1.00000000	313.30000000
0.00060602	42.47142410	6.99696064	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.35352707	3.26211500	0.84820394	7912.25240421	1414.00000000	606.00000000	610.00000000	444.00000000	219.00000000	53.00000000	98.00000000	100.00000000	3350.00000000	844.00000000	281.00000000	302.00000000	178.00000000	63.00000000	24.00000000	98.00000000	100.00000000	1695.00000000	0.01426041	0.03647469	91.97557831	101.19226074	0.00000000	0.81333333	1.00000000	313.20000000
