Day fraction since midnight on 11/23/2020	7 kPa (cm)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q Clay (PID control) ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Target turbidity experiment (NTU)	Turb influent  ()	PID Output ()
0.55221774	9.3822794	1.2077	0	0	0	0	0	0.00713403	3.391	6.1077	1.509	0.294	0	0	0.8200225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09665127
0.55227524	9.59832573	1.2077	0	0	0	0	0	0	3.391	6.1077	1.509	0.294	0.00000999	0.1524893	0.8200225	4.22967291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00043273	0.13019999	0
0.55233273	9.63585758	1.2077	0	0	0	0	0	0	3.391	6.1077	1.509	0.294	0.16910969	0.1524893	0.8200225	6.17968178	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	99	100	0	0.04427482	0.04492322	90.20381927	0.0008912	0.13001336	0
0.55239023	9.59168053	1.2077	0	0	0	0	0	0	3.391	6.1077	1.509	0.294	0.16910969	0.13389316	0.8200225	11.67924166	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	99	100	0	0.04427482	0.04492322	90.20381927	0.00135041	0.12992018	0
0.55244771	9.61685944	1.2077	0	0	0	0	0	0	3.391	6.1077	1.509	0.294	0.16910969	0.13389316	0.8200225	16.43612576	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	100.00001	100.00001	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	99.00000999	100.00001	0.00000999	0.04427999	0.04492999	90.20381999	0.00181035	0.12928914	0
0.55250521	9.61431599	1.2077	0	0	0	0	0	0	3.391	6.1077	1.509	0.294	0.16405624	0.12614319	0.8200225	21.86519051	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	100.00001	100.00001	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	99.00000999	100.00001	0.00000999	0.04427999	0.04492999	90.20381999	0.0022725	0.12925082	0
0.55256271	9.61417484	1.2077	0	0	0	0	0	0	3.391	6.1077	1.509	0.294	0.16405624	0.12614319	0.8200225	27.21780396	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	99	100	0	0.04391102	0.04447887	90.29615021	0.0027318	0.12925328	0
0.5526202	9.64818954	1.2077	0	0	0	0	0	0	3.391	6.1077	1.509	0.294	0.17001505	0.124567	0.8200225	32.72232914	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	99	100	0	0.04391102	0.04447887	90.29615021	0.00319131	0.12852992	0
0.55267769	9.61052418	1.2077	0	0	0	0	0	0	3.391	6.1077	1.509	0.294	0.17001505	0.124567	0.8200225	37.60964394	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	100.00001	100.00001	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	99.00000999	100.00001	0.00000999	0.04391999	0.04447999	90.29615999	0.00365052	0.12972243	0
0.55273518	9.5940876	1.2077	0	0	0	0	0	0	3.391	6.1077	1.509	0.294	0.16542701	0.12677988	0.8200225	42.87984896	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	100.00001	100.00001	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	99.00000999	100.00001	0.00000999	0.04391999	0.04447999	90.29615999	0.00410973	0.12997999	0
