Day fraction since midnight on 11/24/2020	7 kPa (cm)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q Clay (PID control) ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Target turbidity experiment (NTU)	Turb influent  ()	PID Output ()
0.00000485	24.79710388	1.20770000	74.78816327	54.98918919	3.85944681	0.00000000	91.39896373	0.00861945	3.39100000	6.10770000	1.50900000	0.29400000	0.95197624	1.06028819	0.82002250	22864.98232651	2243.00000000	441.00000000	110.00000000	10.00000000	1.00000000	0.00000000	100.00000000	100.00000000	2807.00000000	1841.00000000	475.00000000	153.00000000	19.00000000	3.00000000	0.00000000	99.00000000	100.00000000	2491.00000000	0.04252591	0.04430672	90.33194733	1.05872103	1.05396426	4.30973591
0.00006272	24.91142464	1.20770000	74.78816327	54.98918919	3.85616175	0.00000000	91.39896373	0.00861211	3.39100000	6.10770000	1.50900000	0.29400000	0.94255918	1.06113744	0.82002250	22870.23213053	2243.00000000	441.00000000	110.00000000	10.00000000	1.00000000	0.00000000	100.00000000	100.00000000	2807.00000000	1841.00000000	475.00000000	153.00000000	19.00000000	3.00000000	0.00000000	99.00000000	100.00000000	2491.00000000	0.04252591	0.04430672	90.33194733	1.05895251	1.05671299	4.30605787
0.00012061	24.88248825	1.20770000	74.78816327	54.98918919	3.85430124	0.00000000	91.39896373	0.00860794	3.39100000	6.10770000	1.50900000	0.29400000	0.94255918	1.06113744	0.82002250	22875.50691366	2243.00000000	441.00000000	110.00000000	10.00000000	1.00000000	0.00000000	100.00000000	100.00000000	2807.00000000	1841.00000000	475.00000000	153.00000000	19.00000000	3.00000000	0.00000000	99.00000000	100.00000000	2491.00000000	0.04252591	0.04430672	90.33194733	1.05918348	1.05917680	4.30397334
0.00017847	24.75192451	1.20770000	74.78816327	54.98918919	3.84968705	0.00000000	91.39896373	0.00859762	3.39100000	6.10770000	1.50900000	0.29400000	0.93344498	1.06113744	0.82002250	22881.07951880	2224.00000000	446.00000000	111.00000000	9.00000000	1.00000000	0.00000000	100.00000000	100.00000000	2792.00000000	1825.00000000	460.00000000	153.00000000	18.00000000	2.00000000	0.00000000	99.00000000	100.00000000	2458.00000000	0.04244327	0.04428339	90.33679962	1.05941607	1.06273937	4.29800057
0.00023636	24.86927414	1.20770000	74.78816327	54.98918919	3.84696983	0.00000000	91.39896373	0.00859156	3.39100000	6.10770000	1.50900000	0.29400000	0.93344498	1.06113744	0.82002250	22886.07048035	2224.00000000	446.00000000	111.00000000	9.00000000	1.00000000	0.00000000	100.00000000	100.00000000	2792.00000000	1825.00000000	460.00000000	153.00000000	18.00000000	2.00000000	0.00000000	99.00000000	100.00000000	2458.00000000	0.04211418	0.04420023	90.35409546	1.05964667	1.06249273	4.29577378
0.00029421	24.91253662	1.20770000	74.78816327	54.98918919	3.84801507	0.00000000	91.39896373	0.00859389	3.39100000	6.10770000	1.50900000	0.29400000	0.93774658	1.05485880	0.82002250	22891.40423059	2237.00000000	452.00000000	107.00000000	10.00000000	1.00000000	0.00000000	100.00000000	100.00000000	2807.00000000	1825.00000000	460.00000000	153.00000000	18.00000000	2.00000000	0.00000000	99.00000000	100.00000000	2458.00000000	0.04211418	0.04420023	90.35409546	1.05987889	1.06118345	4.29694970
0.00035208	24.79796410	1.20770000	74.78816327	54.98918919	3.85025644	0.00000000	91.39896373	0.00859891	3.39100000	6.10770000	1.50900000	0.29400000	0.93774658	1.05485880	0.82002250	22896.69900274	2237.00000000	452.00000000	107.00000000	10.00000000	1.00000000	0.00000000	100.00000000	100.00000000	2807.00000000	1825.00000000	460.00000000	153.00000000	18.00000000	2.00000000	0.00000000	99.00000000	100.00000000	2458.00000000	0.04211418	0.04420023	90.35409546	1.06010866	1.05959344	4.29945820
0.00040997	24.84344292	1.20770000	74.78816327	54.98918919	3.85052293	0.00000000	91.39896373	0.00859950	3.39100000	6.10770000	1.50900000	0.29400000	0.93622160	1.05560184	0.82002250	22902.03874922	2237.00000000	452.00000000	107.00000000	10.00000000	1.00000000	0.00000000	100.00000000	100.00000000	2807.00000000	1825.00000000	460.00000000	153.00000000	18.00000000	2.00000000	0.00000000	99.00000000	100.00000000	2458.00000000	0.04211418	0.04420023	90.35409546	1.06034162	1.06008112	4.29975502
0.00046782	24.95526505	1.20770000	74.78816327	54.98918919	3.85199868	0.00000000	91.39896373	0.00860280	3.39100000	6.10770000	1.50900000	0.29400000	0.93622160	1.05560184	0.82002250	22907.60036087	2239.00000000	441.00000000	112.00000000	9.00000000	1.00000000	0.00000000	100.00000000	100.00000000	2802.00000000	1830.00000000	471.00000000	154.00000000	17.00000000	2.00000000	0.00000000	99.00000000	100.00000000	2473.00000000	0.04243303	0.04435550	90.32180023	1.06057236	1.05931020	4.30140666
0.00052569	24.81730461	1.20770000	74.78816327	54.98918919	3.84786786	0.00000000	91.39896373	0.00859357	3.39100000	6.10770000	1.50900000	0.29400000	0.94564432	1.04757869	0.82002250	22912.76321602	2239.00000000	441.00000000	112.00000000	9.00000000	1.00000000	0.00000000	100.00000000	100.00000000	2802.00000000	1830.00000000	471.00000000	154.00000000	17.00000000	2.00000000	0.00000000	99.00000000	100.00000000	2473.00000000	0.04243303	0.04435550	90.32180023	1.06080458	1.06278789	4.29678319
