Day fraction since midnight on 11/24/2020	7 kPa (cm)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q Clay (PID control) ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Target turbidity experiment (NTU)	Turb influent  ()	PID Output ()
0.00000485	24.79710388	1.2077	74.78816327	54.98918919	3.85944681	0	91.39896373	0.00861945	3.391	6.1077	1.509	0.294	0.95197624	1.06028819	0.8200225	22864.98233	2243	441	110	10	1	0	100	100	2807	1841	475	153	19	3	0	99	100	2491	0.04252591	0.04430672	90.33194733	1.05872103	1.05396426	4.30973591
0.00006272	24.91142464	1.2077	74.78816327	54.98918919	3.85616175	0	91.39896373	0.00861211	3.391	6.1077	1.509	0.294	0.94255918	1.06113744	0.8200225	22870.23213	2243	441	110	10	1	0	100	100	2807	1841	475	153	19	3	0	99	100	2491	0.04252591	0.04430672	90.33194733	1.05895251	1.05671299	4.30605787
0.00012061	24.88248825	1.2077	74.78816327	54.98918919	3.85430124	0	91.39896373	0.00860794	3.391	6.1077	1.509	0.294	0.94255918	1.06113744	0.8200225	22875.50691	2243	441	110	10	1	0	100	100	2807	1841	475	153	19	3	0	99	100	2491	0.04252591	0.04430672	90.33194733	1.05918348	1.0591768	4.30397334
0.00017847	24.75192451	1.2077	74.78816327	54.98918919	3.84968705	0	91.39896373	0.00859762	3.391	6.1077	1.509	0.294	0.93344498	1.06113744	0.8200225	22881.07952	2224	446	111	9	1	0	100	100	2792	1825	460	153	18	2	0	99	100	2458	0.04244327	0.04428339	90.33679962	1.05941607	1.06273937	4.29800057
0.00023636	24.86927414	1.2077	74.78816327	54.98918919	3.84696983	0	91.39896373	0.00859156	3.391	6.1077	1.509	0.294	0.93344498	1.06113744	0.8200225	22886.07048	2224	446	111	9	1	0	100	100	2792	1825	460	153	18	2	0	99	100	2458	0.04211418	0.04420023	90.35409546	1.05964667	1.06249273	4.29577378
0.00029421	24.91253662	1.2077	74.78816327	54.98918919	3.84801507	0	91.39896373	0.00859389	3.391	6.1077	1.509	0.294	0.93774658	1.0548588	0.8200225	22891.40423	2237	452	107	10	1	0	100	100	2807	1825	460	153	18	2	0	99	100	2458	0.04211418	0.04420023	90.35409546	1.05987889	1.06118345	4.2969497
0.00035208	24.7979641	1.2077	74.78816327	54.98918919	3.85025644	0	91.39896373	0.00859891	3.391	6.1077	1.509	0.294	0.93774658	1.0548588	0.8200225	22896.699	2237	452	107	10	1	0	100	100	2807	1825	460	153	18	2	0	99	100	2458	0.04211418	0.04420023	90.35409546	1.06010866	1.05959344	4.2994582
0.00040997	24.84344292	1.2077	74.78816327	54.98918919	3.85052293	0	91.39896373	0.0085995	3.391	6.1077	1.509	0.294	0.9362216	1.05560184	0.8200225	22902.03875	2237	452	107	10	1	0	100	100	2807	1825	460	153	18	2	0	99	100	2458	0.04211418	0.04420023	90.35409546	1.06034162	1.06008112	4.29975502
0.00046782	24.95526505	1.2077	74.78816327	54.98918919	3.85199868	0	91.39896373	0.0086028	3.391	6.1077	1.509	0.294	0.9362216	1.05560184	0.8200225	22907.60036	2239	441	112	9	1	0	100	100	2802	1830	471	154	17	2	0	99	100	2473	0.04243303	0.0443555	90.32180023	1.06057236	1.0593102	4.30140666
0.00052569	24.81730461	1.2077	74.78816327	54.98918919	3.84786786	0	91.39896373	0.00859357	3.391	6.1077	1.509	0.294	0.94564432	1.04757869	0.8200225	22912.76322	2239	441	112	9	1	0	100	100	2802	1830	471	154	17	2	0	99	100	2473	0.04243303	0.0443555	90.32180023	1.06080458	1.06278789	4.29678319
0.00058356	24.82702446	1.2077	74.78816327	54.98918919	3.8398716	0	91.39896373	0.00857568	3.391	6.1077	1.509	0.294	0.94564432	1.04757869	0.8200225	22918.05899	2239	441	112	9	1	0	100	100	2802	1830	471	154	17	2	0	99	100	2473	0.0424789	0.04434334	90.32432556	1.06103606	1.06814766	4.28783717
0.00064143	24.94247246	1.2077	74.78816327	54.98918919	3.84081261	0	91.39896373	0.00857779	3.391	6.1077	1.509	0.294	0.93289661	1.04773355	0.8200225	22918.05899	2239	441	112	9	1	0	100	100	2802	1830	471	154	17	2	0	99	100	2473	0.0424789	0.04434334	90.32432556	1.06126758	1.06636727	4.28889595
0.0006993	24.87424469	1.2077	74.78816327	54.98918919	3.84283734	0	91.39896373	0.00858233	3.391	6.1077	1.509	0.294	0.93289661	1.04773355	0.8200225	22923.37975	2239	441	112	9	1	0	100	100	2802	1830	471	154	17	2	0	99	100	2473	0.0424789	0.04434334	90.32432556	1.0614992	1.06439626	4.29116324
0.00075718	24.79297638	1.2077	74.78816327	54.98918919	3.84455817	0	91.39896373	0.00858618	3.391	6.1077	1.509	0.294	0.93931496	1.05880904	0.8200225	22928.52761	2220	439	108	9	1	0	100	100	2777	1819	454	149	19	3	0	99	100	2444	0.04259468	0.04448891	90.29405975	1.06172998	1.06234527	4.29309254
0.00081507	24.92541695	1.2077	74.78816327	54.98918919	3.8486496	0	91.39896373	0.00859533	3.391	6.1077	1.509	0.294	0.93931496	1.05880904	0.8200225	22934.00028	2220	439	108	9	1	0	100	100	2777	1819	454	149	19	3	0	99	100	2444	0.04259468	0.04448891	90.29405975	1.06196225	1.05879426	4.29940362
0.00087293	24.89951706	1.2077	74.78816327	54.98918919	3.85241279	0	91.39896373	0.00860374	3.391	6.1077	1.509	0.294	0.94447905	1.0770551	0.8200225	22939.13229	2222	442	108	9	1	0	100	100	2782	1819	454	149	19	3	0	99	100	2444	0.04222256	0.04418464	90.35733795	1.06219184	1.05859268	4.30187577
0.00093079	24.78111267	1.2077	74.78816327	54.98918919	3.85540693	0	91.39896373	0.00861043	3.391	6.1077	1.509	0.294	0.94447905	1.0770551	0.8200225	22944.41943	2222	442	108	9	1	0	100	100	2782	1819	454	149	19	3	0	99	100	2444	0.04222256	0.04418464	90.35733795	1.06242496	1.058375	4.30522161
0.00098866	24.8740654	1.2077	74.78816327	54.98918919	3.85779949	0	91.39896373	0.00861578	3.391	6.1077	1.509	0.294	0.94332796	1.06513095	0.8200225	22949.70327	2222	442	108	9	1	0	100	100	2782	1828	454	145	17	2	0	99	100	2447	0.04281458	0.04452217	90.28714752	1.06265496	1.05777848	4.3078949
0.00104653	24.86264229	1.2077	74.78816327	54.98918919	3.85164234	0	91.39896373	0.008602	3.391	6.1077	1.509	0.294	0.94332796	1.06513095	0.8200225	22955.01903	2222	442	108	9	1	0	100	100	2782	1828	454	145	17	2	0	99	100	2447	0.04281458	0.04452217	90.28714752	1.06288792	1.0636245	4.30039835
0.00110441	24.83827972	1.2077	74.78816327	54.98918919	3.83769304	0	91.39896373	0.00857085	3.391	6.1077	1.509	0.294	0.94332796	1.06073785	0.8200225	22960.4957	2222.00001	442.00001	108.00001	9.00000999	1.00000999	0.00000999	100.00001	100.00001	2782.00001	1828.00001	454.00001	145.00001	17.00000999	2.00000999	0.00000999	99.00000999	100.00001	2447.00001	0.04281999	0.04452999	90.28714999	1.06311967	1.0701654	4.28540489
0.00116227	24.79043961	1.2077	74.78816327	54.98918919	3.83422548	0	91.39896373	0.00856307	3.391	6.1077	1.509	0.294	0.94332796	1.06073785	0.8200225	22965.63257	2231	436	105	8	1	0	100	100	2781	1828	454	145	17	2	0	99	100	2447	0.04237793	0.04422465	90.34901428	1.06335033	1.07033825	4.28153486
0.00122014	24.91644096	1.2077	74.78816327	54.98918919	3.83271033	0	91.39896373	0.00855971	3.391	6.1077	1.509	0.294	0.95154995	1.06073785	0.8200225	22971.3193	2218	440	107	8	1	0	100	100	2775	1817	451	145	16	1	0	99	100	2430	0.04226974	0.04422126	90.34971619	1.06358222	1.07055414	4.27984384
0.00127803	24.88085937	1.2077	74.78816327	54.98918919	3.83388194	0	91.39896373	0.00856233	3.391	6.1077	1.509	0.294	0.95154995	1.06073785	0.8200225	22976.19632	2218	440	107	8	1	0	100	100	2775	1817	451	145	16	1	0	99	100	2430	0.04226974	0.04422126	90.34971619	1.06381407	1.06723976	4.28115953
0.00133589	24.78422356	1.2077	74.78816327	54.98918919	3.83974451	0	91.39896373	0.00857544	3.391	6.1077	1.509	0.294	0.95154995	1.05314457	0.8200225	22982.69936	2218	440	107	8	1	0	100	100	2775	1817	451	145	16	1	0	99	100	2430	0.04226974	0.04422126	90.34971619	1.064045	1.06352115	4.28772077
0.00139376	24.9196682	1.2077	74.78816327	54.98918919	3.84356011	0	91.39896373	0.00858396	3.391	6.1077	1.509	0.294	0.95154995	1.05314457	0.8200225	22987.05271	2249	431	108	9	1	0	100	100	2798	1817	451	145	16	1	0	99	100	2430	0.0426896	0.0445489	90.28159332	1.06427722	1.05993211	4.29198898
0.00145163	24.87099648	1.2077	74.78816327	54.98918919	3.85072843	0	91.39896373	0.00859998	3.391	6.1077	1.509	0.294	0.94509983	1.06113005	0.8200225	22992.13961	2249	431	108	9	1	0	100	100	2798	1817	451	145	16	1	0	99	100	2430	0.0426896	0.0445489	90.28159332	1.06450814	1.06109381	4.29999433
0.0015095	24.8248291	1.2077	74.78816327	54.98918919	3.85274936	0	91.39896373	0.00860449	3.391	6.1077	1.509	0.294	0.94509983	1.06113005	0.8200225	22997.43538	2249	431	108	9	1	0	100	100	2798	1810	452	140	17	1	0	99	100	2421	0.0426896	0.0445489	90.28159332	1.06473962	1.06064749	4.30225283
0.00156737	24.85529518	1.2077	74.78816327	54.98918919	3.84887808	0	91.39896373	0.00859583	3.391	6.1077	1.509	0.294	0.94146788	1.05129075	0.8200225	23002.69718	2249	431	108	9	1	0	100	100	2798	1810	452	140	17	1	0	99	100	2421	0.0426896	0.0445489	90.28159332	1.06497129	1.06427538	4.29791958
0.00162524	24.93047905	1.2077	74.78816327	54.98918919	3.84875379	0	91.39896373	0.00859555	3.391	6.1077	1.509	0.294	0.94146788	1.05129075	0.8200225	23008.04392	2246	441	111	8	1	0	100	100	2808	1810	452	140	17	1	0	99	100	2421	0.04216577	0.04418791	90.35665894	1.06520244	1.06481671	4.29777996
0.00168312	24.74161339	1.2077	74.78816327	54.98918919	3.85328019	0	91.39896373	0.00860567	3.391	6.1077	1.509	0.294	0.93923676	1.05129075	0.8200225	23013.29672	2246	441	111	8	1	0	100	100	2808	1810	452	140	17	1	0	99	100	2421	0.04216577	0.04418791	90.35665894	1.06543466	1.06245935	4.30284408
0.00174098	24.81328392	1.2077	74.78816327	54.98918919	3.85192718	0	91.39896373	0.00860265	3.391	6.1077	1.509	0.294	0.93923676	1.05129075	0.8200225	23013.29672	2246	441	111	8	1	0	100	100	2808	1810	452	140	17	1	0	99	100	2421	0.04216577	0.04418791	90.35665894	1.06566609	1.06413221	4.30132762
0.00179886	24.86724091	1.2077	74.78816327	54.98918919	3.85150407	0	91.39896373	0.0086017	3.391	6.1077	1.509	0.294	0.93774021	1.05932224	0.8200225	23018.5795	2246.00001	441.00001	111.00001	8.00000999	1.00000999	0.00000999	100.00001	100.00001	2808.00001	1810.00001	452.00001	140.00001	17.00000999	1.00000999	0.00000999	99.00000999	100.00001	2421.00001	0.04216999	0.04418999	90.35665999	1.06589739	1.06652522	4.30085331
0.00185672	24.76190186	1.2077	74.78816327	54.98918919	3.84593044	0	91.39896373	0.00858923	3.391	6.1077	1.509	0.294	0.93830174	1.05932224	0.8200225	23023.9932	2246.00001	441.00001	111.00001	8.00000999	1.00000999	0.00000999	100.00001	100.00001	2808.00001	1810.00001	452.00001	140.00001	17.00000999	1.00000999	0.00000999	99.00000999	100.00001	2421.00001	0.04216999	0.04418999	90.35665999	1.06612836	1.06883609	4.29461732
0.0019146	24.7402153	1.2077	74.78816327	54.98918919	3.84273816	0	91.39896373	0.00858209	3.391	6.1077	1.509	0.294	0.93830174	1.07592773	0.8200225	23029.54382	2246.00001	441.00001	111.00001	8.00000999	1.00000999	0.00000999	100.00001	100.00001	2808.00001	1810.00001	452.00001	140.00001	17.00000999	1.00000999	0.00000999	99.00000999	100.00001	2421.00001	0.04216999	0.04418999	90.35665999	1.06635836	1.06998181	4.29104939
0.00197247	24.81472778	1.2077	74.78816327	54.98918919	3.84616166	0	91.39896373	0.00858976	3.391	6.1077	1.509	0.294	0.94335645	1.07804978	0.8200225	23034.51979	2239	444	108	8	1	0	100	100	2800	1816	453	141	16	2	0	99	100	2427	0.04268305	0.04455217	90.28091431	1.06659118	1.06716275	4.29488231
0.00203034	24.83454323	1.2077	74.78816327	54.98918919	3.85153605	0	91.39896373	0.00860178	3.391	6.1077	1.509	0.294	0.94335645	1.07804978	0.8200225	23040.02444	2239	444	108	8	1	0	100	100	2800	1816	453	141	16	2	0	99	100	2427	0.04259787	0.04442343	90.30767822	1.0668215	1.06408906	4.30089339
0.00208821	24.73014069	1.2077	74.78816327	54.98918919	3.85540428	0	91.39896373	0.00861043	3.391	6.1077	1.509	0.294	0.94623059	1.08236051	0.8200225	23045.12033	2262	439	108	6	1	0	100	100	2817	1816	453	141	16	2	0	99	100	2427	0.04243458	0.04441902	90.30859375	1.06705488	1.06247211	4.30609966
0.00214608	24.84949684	1.2077	74.78816327	54.98918919	3.85456055	0	91.39896373	0.00860853	3.391	6.1077	1.509	0.294	0.94623059	1.08236051	0.8200225	23050.37213	2262	439	108	6	1	0	100	100	2817	1816	453	141	16	2	0	99	100	2427	0.04243458	0.04441902	90.30859375	1.06728557	1.0653218	4.30426948
0.00220395	24.79619408	1.2077	74.78816327	54.98918919	3.85593687	0	91.39896373	0.00861161	3.391	6.1077	1.509	0.294	0.94602978	1.07580304	0.8200225	23055.28414	2262.00001	439.00001	108.00001	6.00000999	1.00000999	0.00000999	100.00001	100.00001	2817.00001	1816.00001	453.00001	141.00001	16.00000999	2.00000999	0.00000999	99.00000999	100.00001	2427.00001	0.04243999	0.04441999	90.30859999	1.06751784	1.06539999	4.3058065
0.00226182	24.7595787	1.2077	74.78816327	54.98918919	3.85196394	0	91.39896373	0.00860272	3.391	6.1077	1.509	0.294	0.94602978	1.07580304	0.8200225	23061.06462	2256	442	111	9	1	0	100	100	2819	1801	446	140	16	2	0	99	100	2405	0.04167429	0.04352101	90.49549866	1.06774853	1.0685308	4.30133911
0.00231969	24.77589798	1.2077	74.78816327	54.98918919	3.8454413	0	91.39896373	0.00858813	3.391	6.1077	1.509	0.294	0.94629443	1.06747878	0.8200225	23066.47632	2256	442	111	9	1	0	100	100	2819	1801	446	140	16	2	0	99	100	2405	0.04167429	0.04352101	90.49549866	1.06797871	1.07239771	4.29406515
0.00237756	24.86452866	1.2077	74.78816327	54.98918919	3.84346745	0	91.39896373	0.00858372	3.391	6.1077	1.509	0.294	0.94629443	1.06747878	0.8200225	23071.6082	2273	447	113	8	2	0	100	100	2842	1801	446	140	16	2	0	99	100	2405	0.04210515	0.04398607	90.39865875	1.0682113	1.07082224	4.29185867
0.00243543	24.78888702	1.2077	74.78816327	54.98918919	3.84247521	0	91.39896373	0.00858151	3.391	6.1077	1.509	0.294	0.94629443	1.07199049	0.8200225	23077.02389	2273	447	113	8	2	0	100	100	2842	1801	446	140	16	2	0	99	100	2405	0.04210515	0.04398607	90.39865875	1.06844371	1.0713532	4.29254935
0.0024933	24.69913292	1.2077	74.78816327	54.98918919	3.84425153	0	91.39896373	0.00858549	3.391	6.1077	1.509	0.294	0.94629443	1.07199049	0.8200225	23082.18475	2273.00001	447.00001	113.00001	8.00000999	2.00000999	0.00000999	100.00001	100.00001	2842.00001	1801.00001	446.00001	140.00001	16.00000999	2.00000999	0.00000999	99.00000999	100.00001	2405.00001	0.04210999	0.04398999	90.39865999	1.06867445	1.07112694	4.29274644
