Day fraction since midnight on 12/19/2020	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	PID Control ()	Scale ()	PC1 & 2 pump #2 ()
0.00005655	44.1674614	6.99552727	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.17298488	2.6064651	0.85714286	4227.539242	0	0	0	0	0	0	98	101	0	330	178	147	33	2	2	96	100	692	0.02025737	0.03334529	92.64064789	100.3491287	99.22512279	841.9	0.83181818
0.00011443	44.18537521	6.99558926	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.17298488	2.6064651	0.85714286	4236.386054	0	0	0	0	0	0	98	101	0	335	179	146	33	3	2	96	100	698	0.01996524	0.03334345	92.64104462	100.3581314	99.22499534	841.8	0.83181818
0.00017229	44.09912872	6.9956708	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.16177061	2.46088958	0.85714286	4240.801466	0	0	0	0	0	0	98	101	0	335	179	146	33	3	2	96	100	698	0.01996524	0.03334345	92.64104462	100.396553	99.2248145	841.8	0.83181818
0.00023017	44.11235046	6.99563074	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.16177061	2.46088958	0.85714286	4245.022992	0	0	0	0	0	0	98	101	0	335	179	146	33	3	2	96	100	698	0.01996524	0.03334345	92.64104462	100.4246979	99.22462953	841.7	0.83181818
0.00028803	44.13788223	6.99561071	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.18994722	2.41089988	0.85714286	4249.05463	0	0	0	0	0	0	98	101	0	335	179	146	33	3	2	96	100	698	0.02044043	0.03347683	92.6125946	100.5277405	99.22429119	841.7	0.83181818
0.00034591	44.14329147	6.9955163	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.18994722	2.41089988	0.85714286	4253.470043	0	0	0	0	0	0	98	101	0	335	179	146	33	3	2	96	100	698	0.02044043	0.03347683	92.6125946	100.4478531	99.22427932	841.6	0.83181818
0.0004038	44.13641357	6.99541187	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.18291871	2.44033194	0.85714286	4257.691569	0	0	0	0	0	0	98	101	0	335	179	146	33	3	2	96	100	698	0.02044043	0.03347683	92.6125946	100.4899597	99.22405911	841.6	0.83181818
0.00046166	44.16758728	6.99566078	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.18291871	2.44033194	0.85714286	4266.15261	0	0	0	0	0	0	98	101	0	327	179	145	33	2	1	96	100	689	0.01969128	0.03283922	92.7486496	100.5480118	99.2237632	841.5	0.83181818
0.00051954	44.14912033	6.99552727	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.18773536	3.32865667	0.85714286	4270.568168	0	0	0	0	0	0	98	101	0	327	179	145	33	2	1	96	100	689	0.01969128	0.03283922	92.7486496	100.5846481	99.22354162	841.5	0.83181818
0.0005774	44.18729401	6.9958086	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.18773536	3.32865667	0.85714286	4274.981838	0	0	0	0	0	0	98	101	0	327	179	145	33	2	1	96	100	689	0.01951095	0.0324465	92.83255005	100.62483	99.22327521	841.4	0.83181818
0.00063529	44.20842743	6.9954505	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.17663535	2.73272753	0.85714286	4279.397251	0	0	0	0	0	0	98	101	0	327	179	145	33	2	1	96	100	689	0.01970647	0.03326829	92.65707397	100.5312882	99.22326904	841.4	0.83181818
0.00069314	44.18298721	6.99571848	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.17663535	2.73272753	0.85714286	4283.426888	0	0	0	0	0	0	98	101	0	323	186	145	34	2	2	96	100	693	0.01970647	0.03326829	92.65707397	100.513176	99.22313683	841.3	0.83181818
0.00075103	44.22343063	6.99547815	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.16870689	2.6392622	0.85714286	4288.034189	0	0	0	0	0	0	98	101	0	323	186	145	34	2	2	96	100	693	0.01970647	0.03326829	92.65707397	100.6694489	99.22274603	841.3	0.83181818
0.0008089	44.17669296	6.99569988	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.16870689	2.6392622	0.85714286	4296.494231	0	0	0	0	0	0	98	101	0	323	186	145	34	2	2	96	100	693	0.02014168	0.03344474	92.61943817	100.7092896	99.22235417	841.3	0.83181818
0.00086676	44.17051697	6.99558401	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.17859246	3.00435519	0.85714286	4300.911817	0	0	0	0	0	0	98	101	0	323	186	145	34	2	2	96	100	693	0.01953018	0.03276125	92.76530457	100.6895447	99.22221084	841.2	0.83181818
0.00092462	44.12401962	6.99558449	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.17859246	3.00435519	0.85714286	4305.133494	0	0	0	0	0	0	98	101	0	323	186	145	34	2	2	96	100	693	0.01953018	0.03276125	92.76530457	100.6728287	99.22202168	841.1	0.83181818
0.00098251	44.11819458	6.99558878	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.17859246	3.18719482	0.85714286	4309.35519	0	0	0	0	0	0	98	101	0	324	178	145	32	2	1	96	100	683	0.01953018	0.03276125	92.76530457	100.7296677	99.22170922	841.1	0.83181818
