Day fraction since midnight on 12/21/2020	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	Scale ()	PC1 & 2 pump #2 ()
0.00002115	35.70468903	6.99601603	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.22367245	2.61965728	0.85714286	10518.5041	0	0	0	0	0	0	44	101	0	947	384	230	25	1	3	98	100	1592	0.0278983	0.031031	93.13558197	102.1569824	519.7	0.83181818
0.00007901	35.81299973	6.99619818	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.22367245	2.6279006	0.85714286	10523.11128	0	0	0	0	0	0	44	101	0	947	384	230	25	1	3	98	100	1592	0.02882358	0.03124787	93.08908844	101.9140396	519.7	0.83181818
0.00013689	35.75156784	6.99597168	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.22367245	2.6279006	0.85714286	10527.14298	0	0	0	0	0	0	44	101	0	947	384	230	25	1	3	98	100	1592	0.02882358	0.03124787	93.08908844	101.6783218	519.7	0.83181818
0.00019475	35.75677109	6.99606657	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.31181866	2.74754643	0.85714286	10531.55628	0	0	0	0	0	0	44	101	0	947	384	230	25	1	3	98	100	1592	0.02817885	0.03073173	93.1997757	101.5854645	519.7	0.83181818
0.00025263	35.72222519	6.99620867	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.31181866	2.74754643	0.85714286	10540.0011	0	0	0	0	0	0	44	101	0	947	384	230	25	1	3	98	100	1592	0.02817885	0.03073173	93.1997757	101.2628326	519.6	0.83181818
0.00031049	35.75233459	6.99605942	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25669193	2.7844522	0.85714286	10544.24051	0	0	0	0	0	0	44	101	0	947	384	230	25	1	3	98	100	1592	0.02768554	0.03114932	93.11021423	101.0482407	519.6	0.83181818
0.00036837	35.76147842	6.99626207	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25669193	2.7844522	0.85714286	10548.65581	0	0	0	0	0	0	44	101	0	947	384	230	25	1	3	98	100	1592	0.02768554	0.03114932	93.11021423	101.0287323	519.6	0.83181818
0.00042623	35.78628159	6.99608517	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25221452	2.75362968	0.85714286	10553.0711	0	0	0	0	0	0	44	101	0	949	371	230	26	1	4	98	100	1581	0.02865032	0.03091532	93.16038513	100.9918671	519.5	0.83181818
0.00048411	35.76696396	6.99610901	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25221452	2.75362968	0.85714286	10557.29269	0	0	0	0	0	0	44	101	0	949	371	230	26	1	4	98	100	1581	0.02865032	0.03091532	93.16038513	100.8396683	519.5	0.83181818
0.00054199	35.75868988	6.99610424	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25764796	2.75362968	0.85714286	10562.68339	0	0	0	0	0	0	44	101	0	949	371	230	26	1	4	98	100	1581	0.02865032	0.03091532	93.16038513	100.6353149	519.5	0.83181818
0.00059985	35.75590515	6.99597263	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25764796	2.75362968	0.85714286	10569.97693	0	0	0	0	0	0	44	101	0	952	378	228	24	2	4	98	100	1589	0.02757242	0.03091939	93.15951538	100.5662537	519.5	0.83181818
0.00065771	35.77105331	6.99610472	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.26868698	2.73001194	0.85714286	10574.58211	0	0	0	0	0	0	44	101	0	952	378	228	24	2	4	98	100	1589	0.02757242	0.03091939	93.15951538	100.60633	519.4	0.83181818
