Day fraction since midnight on 12/7/2020	7 kPa (cm)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q Clay (PID control) ()	Q clay pump (mL/s)	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Target turbidity experiment (NTU)	Turb influent  ()	PID Output ()
0.50252236	29.10428429	1.215	74.87755102	54.98918919	0	0	91.39896373	0	0	3.391	6.115	1.509	0.294	0.96969056	0.26117095	0.8200225	80.08400345	235	124	122	86	42	2	100	99	611	1303	729	712	407	86	2	98	100	3240	0.04470348	0.04795663	89.57604218	0.00003754	0.21557613	0
0.50258023	20.68404388	NaN	NaN	54.98918919	0	0	91.39896373	0.00004449	NaN	3.391	NaN	1.509	0.294	0.96969056	0.26117095	0.8200225	85.51962948	615	326	347	292	117	5	100	99	1701	1303	729	712	407	86	2	98	100	3240	0.04345892	0.0477873	89.61096954	0.00003984	0.19478847	0.01786103
0.50263811	13.72378731	NaN	0	0	0	0	0	0.00002495	NaN	3.391	NaN	1.509	0.294	0.9531849	0.26549748	0.8200225	3.05210781	615	326	347	292	117	5	100	99	1701	1303	729	712	407	86	2	98	100	3240	0.04345892	0.0477873	89.61096954	0.00000196	0.18098724	0.01221675
0.50269598	12.08089352	NaN	0	0	0	0	0	0	NaN	3.391	NaN	1.509	0.294	0.9531849	0.26549748	0.8200225	6.06123924	615	326	347	292	117	5	100	99	1701	1303	729	712	407	86	2	98	100	3240	0.04345892	0.0477873	89.61096954	0.00000427	0.16730373	0
0.50275385	11.38213158	NaN	0	0	0	0	0	0	NaN	3.391	NaN	1.509	0.294	0.95909023	0.29656401	0.8200225	11.37594175	1546	805	805	598	229	10	100	99	3992	1317	729	716	417	82	2	98	100	3265	0.04420651	0.04751321	89.66753387	0.0000066	0.15752366	0
0.50281172	11.12250423	NaN	0	0	0	0	0	0	NaN	3.391	NaN	1.509	0.294	0.95909023	0.29656401	0.8200225	16.61568785	1546	805	805	598	229	10	100	99	3992	1317	729	716	417	82	2	98	100	3265	0.04420651	0.04751321	89.66753387	0.00000891	0.14980306	0
0.50286959	11.06828976	NaN	0	0	0	0	0	0	NaN	3.391	NaN	1.509	0.294	0.97182012	0.34223869	0.8200225	22.02742147	1546	805	805	598	229	10	100	99	3992	1317	729	716	417	82	2	98	100	3265	0.04420651	0.04751321	89.66753387	0.00001121	0.14570621	0
0.50292746	11.05725098	NaN	0	0	0	0	0	0	NaN	3.391	NaN	1.509	0.294	0.97182012	0.34223869	0.8200225	27.15623903	1546.00001	805.00001	805.00001	598.00001	229.00001	10.00000999	100.00001	99.00000999	3992.00001	1317.00001	729.00001	716.00001	417.00001	82.00000999	2.00000999	98.00000999	100.00001	3265.00001	0.04420999	0.04751999	89.66753999	0.00001354	0.14254792	0
0.50298533	11.02271366	NaN	0	0	0	0	0	0	NaN	3.391	NaN	1.509	0.294	0.96345145	0.34680405	0.8200225	32.48811769	2365	1191	1055	639	220	8	100	99	5477	1317	729	716	417	82	2	98	100	3265	0.04346547	0.04643768	89.8898468	0.00001586	0.14048342	0
0.5030432	11.02188587	1.21498185	0	0	0	0	0	0	0.00001816	3.391	6.11498187	1.509	0.294	1.03399181	0.34680405	0.8200225	38.00396252	2365	1191	1055	639	220	8	100	99	5477	1317	729	716	417	82	2	98	100	3265	0.04346547	0.04643768	89.8898468	0.00001816	0.1386615	0
