Day fraction since midnight on 12/9/2020	7 kPa (cm)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q Clay (PID control) ()	Q clay pump (mL/s)	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Target turbidity experiment (NTU)	Turb influent  ()	PID Output ()
0.0000505	27.68881226	1.16881561	74.31202817	54.98918919	20.67957782	0	91.39896373	0	0.04618439	3.391	6.06881563	1.509	0.294	5.38809299	5.86462021	0.8200225	99757.29498	11224	6285	2738	223	10	1	97	100	20480	10351	5787	2393	192	9	0	99	100	18733	0.06081045	0.07165828	84.81895447	0.04618439	6.09110069	0
0.00010837	27.57250404	1.16881329	74.3119998	54.98918919	20.6806143	0	91.39896373	0	0.04618671	3.391	6.06881332	1.509	0.294	5.38809299	5.86462021	0.8200225	99762.61077	11193	6294	2726	223	6	1	97	100	20442	10351	5787	2393	192	9	0	99	100	18733	0.06081045	0.07165828	84.81895447	0.04618671	6.08623171	0
0.00016625	27.65367699	1.16881098	74.31197145	54.98918919	20.68165163	0	91.39896373	0	0.04618903	3.391	6.068811	1.509	0.294	5.39524746	5.87527132	0.8200225	99768.13458	11193	6294	2726	223	6	1	97	100	20442	10351	5787	2393	192	9	0	99	100	18733	0.06153552	0.0726918	84.61737061	0.04618903	6.08573484	0
0.00022412	27.58753014	1.16880867	74.31194314	54.98918919	20.6826871	0	91.39896373	0	0.04619134	3.391	6.06880869	1.509	0.294	5.39524746	5.87527132	0.8200225	99773.18664	11193	6294	2726	223	6	1	97	100	20442	10351	5787	2393	192	9	0	99	100	18733	0.06153552	0.0726918	84.61737061	0.04619134	6.08274221	0
0.00028199	27.70402527	1.16880635	74.31191479	54.98918919	20.68372379	0	91.39896373	0	0.04619365	3.391	6.06880637	1.509	0.294	5.39524746	5.87527132	0.8200225	99773.18664	11193	6294	2726	223	6	1	97	100	20442	10351	5787	2393	192	9	0	99	100	18733	0.06153552	0.0726918	84.61737061	0.04619365	6.08340502	0
0.00033986	27.57998848	1.16880403	74.3118864	54.98918919	20.6847611	0	91.39896373	0	0.04619597	3.391	6.06880405	1.509	0.294	5.39524746	5.87527132	0.8200225	99778.45545	11193.00001	6294.00001	2726.00001	223.00001	6.00000999	1.00000999	97.00000999	100.00001	20442.00001	10351.00001	5787.00001	2393.00001	192.00001	9.00000999	0.00000999	99.00000999	100.00001	18733.00001	0.06153999	0.07269999	84.61737999	0.04619597	6.07832432	0
0.00039773	27.63502312	1.16880172	74.3118581	54.98918919	20.68579675	0	91.39896373	0	0.04619828	3.391	6.06880174	1.509	0.294	5.39524999	5.86539841	0.8200225	99784.03507	11237	6281	2708	222	7	1	97	100	20455	10377	5761	2407	201	7	1	99	100	18754	0.06075891	0.07263304	84.6288147	0.04619828	6.07688475	0
0.00045561	27.65079308	1.16879941	74.31182975	54.98918919	20.68683322	0	91.39896373	0	0.0462006	3.391	6.06879943	1.509	0.294	5.39524999	5.86539841	0.8200225	99789.13598	11237	6281	2708	222	7	1	97	100	20455	10377	5761	2407	201	7	1	99	100	18754	0.06075891	0.07263304	84.6288147	0.0462006	6.07741833	0
0.00051348	27.62976837	1.16879709	74.31180138	54.98918919	20.68787058	0	91.39896373	0	0.04620291	3.391	6.06879711	1.509	0.294	5.27622986	5.97749758	0.8200225	99794.98045	11237.00001	6281.00001	2708.00001	222.00001	7.00000999	1.00000999	97.00000999	100.00001	20455.00001	10377.00001	5761.00001	2407.00001	201.00001	7.00000999	1.00000999	99.00000999	100.00001	18754.00001	0.06075999	0.07263999	84.62881999	0.04620291	6.06688023	0
0.00057134	27.64779091	1.16879478	74.31177306	54.98918919	20.68890623	0	91.39896373	0	0.04620523	3.391	6.0687948	1.509	0.294	5.27622986	5.97749758	0.8200225	99799.71883	11221	6289	2743	245	13	1	97	100	20512	10377	5761	2407	201	7	1	99	100	18754	0.0622128	0.07384916	84.39219666	0.04620523	6.0795579	0
