Day fraction since midnight on 2/19/2021	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q removed (mL/s)	Q floc hopper add term ()	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	PC1 & 2 pump #2 ()	Count states ()	Small Scale ()	PC 1.3 Bin 1 ppb ()	PC 1.3 Bin 2 ppb ()	PC 1.3 Bin 3 ppb ()	PC 1.3 Bin 4 ppb ()	PC 1.3 Bin 5 ppb ()	PC 1.3 Bin 6 ppb ()	PC 1.3 Total ppb ()
0.62794514	4.1205759	6.35749912	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.1481256	1.58598375	0.88192771	9973.049879	0	0	0	0	0	0	100	101	0	356	158	124	28	4	1	100	100	671	0.02380515	0.02776827	93.83784485	0.09247512	0.81333333	0	0.2	2.80999994	4.57999992	17.10000038	24.82999992	25.56999969	0	93.45999908
0.62800301	4.09009838	6.35740566	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.1481256	1.58598375	0.88192771	9976.696614	0	0	0	0	0	0	100	101	0	356	158	124	28	4	1	100	100	671	0.02397655	0.02757965	93.87860107	0.09283789	0.81333333	0	0.3	2.80999994	4.57999992	17.10000038	24.82999992	25.56999969	0	93.45999908
0.62806089	4.11552858	6.35773563	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14386946	1.58691144	0.88192771	9981.111874	0	0	0	0	0	0	100	101	0	356	158	124	28	4	1	100	100	671	0.02397655	0.02757965	93.87860107	0.09241349	0.81333333	0	0.3	2.80999994	4.57999992	17.10000038	24.82999992	25.56999969	0	93.45999908
0.62811875	4.12907887	6.35712528	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14386946	1.58691144	0.88192771	9985.33742	0	0	0	0	0	0	100	101	0	356	158	124	28	4	1	100	100	671	0.02307633	0.02738313	93.92108917	0.09260055	0.81333333	0	0.2	2.95000005	4.63000011	17.37000084	24.72999954	14.61999989	0	83.62999725
0.62817662	4.10741329	6.35717773	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14560062	1.5875591	0.88192771	9993.975057	0	0	0	0	0	0	100	101	0	369	160	122	29	3	0	100	100	684	0.02307633	0.02738313	93.92108917	0.09233022	0.81333333	0	0.3	2.95000005	4.63000011	17.37000084	24.72999954	14.61999989	0	83.62999725
0.62823448	4.10802603	6.35712337	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14560062	1.5875591	0.88192771	9998.197435	0	0	0	0	0	0	100	101	0	369	160	122	29	3	0	100	100	684	0.02345327	0.02720587	93.95942688	0.09282204	0.81333333	0	0.2	2.95000005	4.63000011	17.37000084	24.72999954	14.61999989	0	83.62999725
0.62829238	4.08261871	6.35730886	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.146355	1.59212542	0.88192771	10002.42181	0	0	0	0	0	0	100	101	0	369	160	122	29	3	0	100	100	684	0.02345327	0.02720587	93.95942688	0.09292424	0.81333333	0	0.2	2.95000005	4.63000011	17.37000084	24.72999954	14.61999989	0	83.62999725
0.62835024	4.13096094	6.35872221	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.146355	1.59212542	0.88192771	10007.02895	0	0	0	0	0	0	100	101	0	369	160	122	29	3	0	100	100	684	0.02336146	0.02729339	93.94049072	0.09344745	0.81333333	0	0.3	2.95000005	4.63000011	17.37000084	24.72999954	14.61999989	0	83.62999725
0.6284081	4.12863874	6.3576355	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14627317	1.5945102	0.88192771	10011.84428	0	0	0	0	0	0	100	101	0	355	158	120	28	4	0	100	100	666	0.02336146	0.02729339	93.94049072	0.09336766	0.81333333	0	0.2	2.83999991	4.65999985	16.82999992	25.45000076	21.64999962	0	103.4400024
0.62846599	4.1446414	6.35823202	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14627317	1.5945102	0.88192771	10015.49102	0	0	0	0	0	0	100	101	0	355	158	120	28	4	0	100	100	666	0.02336146	0.02729339	93.94049072	0.09281656	0.81333333	0	0.2	2.83999991	4.65999985	16.82999992	25.45000076	21.64999962	0	103.4400024
0.62852385	4.11660719	6.35771847	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14178294	1.59275401	0.88192771	10024.12966	0	0	0	0	0	0	100	101	0	355	158	120	28	4	0	100	100	666	0.02311779	0.02700015	94.00393677	0.09319911	0.81333333	0	0.2	2.83999991	4.65999985	16.82999992	25.45000076	21.64999962	0	103.4400024
0.62858173	4.07760286	6.35717773	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14178294	1.59275401	0.88192771	10028.35303	0	0	0	0	0	0	100	101	0	355	158	120	28	4	0	100	100	666	0.02362655	0.0274027	93.91685486	0.09358311	0.81333333	0	0.2	2.83999991	4.65999985	16.82999992	25.45000076	21.64999962	0	103.4400024
0.62863958	4.14483929	6.35758018	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.1455469	1.58867896	0.88192771	10032.57641	0	0	0	0	0	0	100	101	0	355	158	120	28	4	0	100	100	666	0.02362655	0.0274027	93.91685486	0.09387089	0.81333333	0	0.2	2.83999991	4.65999985	16.82999992	25.45000076	21.64999962	0	103.4400024
0.62869745	4.12474632	6.35787916	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.1455469	1.58867896	0.88192771	10036.99067	0	0	0	0	0	0	100	101	0	358	159	125	31	4	0	100	100	676	0.02372681	0.02746798	93.90274048	0.09420467	0.81333333	0	0.2	2.81999993	4.69999981	17.53000069	26.67000008	22.01000023	0	92.58999634
0.62875532	4.09370852	6.35787153	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.1455469	1.59227717	0.88192771	10041.40693	0	0	0	0	0	0	100	101	0	358	159	125	31	4	0	100	100	676	0.02372681	0.02746798	93.90274048	0.09397648	0.81333333	0	0.3	2.81999993	4.69999981	17.53000069	26.67000008	22.01000023	0	92.58999634
0.62881319	4.12977171	6.35839415	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.1455469	1.59227717	0.88192771	10045.43943	0	0	0	0	0	0	100	101	0	358	159	125	31	4	0	100	100	676	0.0235517	0.02731511	93.93579865	0.09344942	0.81333333	0	0.3	2.81999993	4.69999981	17.53000069	26.67000008	22.01000023	0	92.58999634
0.62887106	4.06118011	6.35810184	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14169183	1.58665109	0.88192771	10054.07706	0	0	0	0	0	0	100	101	0	358	159	125	31	4	0	100	100	676	0.0235517	0.02731511	93.93579865	0.09337483	0.81333333	0	0.3	2.81999993	4.69999981	17.53000069	26.67000008	22.01000023	0	92.58999634
0.62892893	4.11318159	6.35852766	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14804643	1.58665109	0.88192771	10058.31543	0	0	0	0	0	0	100	101	0	358	159	125	31	4	0	100	100	676	0.02342813	0.02739824	93.91782379	0.09385247	0.81333333	0	0.2	2.81999993	4.69999981	17.53000069	26.67000008	22.01000023	0	92.58999634
0.6289868	4.11110353	6.35808182	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14804643	1.58562422	0.88192771	10062.73169	0	0	0	0	0	0	100	101	0	353	162	119	29	2	0	100	100	666	0.02342813	0.02739824	93.91782379	0.09422581	0.81333333	0	0.2	2.77999997	4.80000019	16.67000008	25.57999992	11.97000027	0	68.70999908
0.62904468	4.11669588	6.35799742	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14780761	1.58625174	0.88192771	10067.14735	0	0	0	0	0	0	100	101	0	353	162	119	29	2	0	100	100	666	0.02375719	0.02747294	93.90166473	0.09452894	0.81333333	0	0.3	2.77999997	4.80000019	16.67000008	25.57999992	11.97000027	0	68.70999908
0.62910254	4.10761452	6.35757637	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14780761	1.58625174	0.88192771	10071.36873	0	0	0	0	0	0	100	101	0	353	162	119	29	2	0	100	100	666	0.02375719	0.02747294	93.90166473	0.09457775	0.81333333	0	0.3	2.77999997	4.80000019	16.67000008	25.57999992	11.97000027	0	68.70999908
0.62916041	4.09490728	6.35770607	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14372584	1.58487272	0.88192771	10075.59332	0	0	0	0	0	0	100	101	0	353	162	119	29	2	0	100	100	666	0.02305301	0.02718791	93.96331024	0.09399284	0.81333333	0	0.2	2.77999997	4.80000019	16.67000008	25.57999992	11.97000027	0	68.70999908
0.62921828	4.14025879	6.3574543	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14372584	1.58487272	0.88192771	10084.2331	0	0	0	0	0	0	100	101	0	353	162	119	29	2	0	100	100	666	0.02305301	0.02718791	93.96331024	0.09369195	0.81333333	0	0.3	2.96000004	4.80999994	17.30999947	26.28000069	22.72999954	0	93.52999878
