Day fraction since midnight on 2/27/2021	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q removed (mL/s)	Q floc hopper add term ()	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	PC1 & 2 pump #2 ()	Count states ()	Small Scale ()	PC 1.3 Bin 1 ppb ()	PC 1.3 Bin 2 ppb ()	PC 1.3 Bin 3 ppb ()	PC 1.3 Bin 4 ppb ()	PC 1.3 Bin 5 ppb ()	PC 1.3 Bin 6 ppb ()	PC 1.3 Total ppb ()
0.00000383	-0.16060625	6.33183050	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.56947708	2.52191544	0.88192771	456110.32947206	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	591.00000000	413.00000000	512.00000000	373.00000000	185.00000000	55.00000000	100.00000000	101.00000000	2131.00000000	0.03731218	0.13710576	72.95478821	0.25458962	0.81333333	0.00000000	361.00000000	4.84000015	12.72000027	81.40000153	405.98001099	1299.55004883	0.00000000	4767.70019531
0.00006170	-0.17804477	6.33265829	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.56947708	2.52041531	0.88192771	456114.91876459	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	599.00000000	410.00000000	515.00000000	370.00000000	183.00000000	52.00000000	100.00000000	101.00000000	2131.00000000	0.03731218	0.13710576	72.95478821	0.25478303	0.81333333	0.00000000	361.00000000	4.97000027	12.50000000	81.62000275	399.79998779	1290.77001953	0.00000000	4445.81005859
0.00011957	-0.15607484	6.33139992	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.56947708	2.52041531	0.88192771	456123.38091755	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	599.00000000	410.00000000	515.00000000	370.00000000	183.00000000	52.00000000	100.00000000	101.00000000	2131.00000000	0.03474174	0.14031540	72.41767883	0.25490773	0.81333333	0.00000000	361.00000000	4.97000027	12.50000000	81.62000275	399.79998779	1290.77001953	0.00000000	4445.81005859
0.00017745	-0.19629323	6.33295870	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.56032395	2.52041531	0.88192771	456127.41453934	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	599.00000000	410.00000000	515.00000000	370.00000000	183.00000000	52.00000000	100.00000000	101.00000000	2131.00000000	0.03684263	0.13974220	72.51329803	0.25471926	0.81333333	0.00000000	361.10000000	4.97000027	12.50000000	81.62000275	399.79998779	1290.77001953	0.00000000	4445.81005859
0.00023533	-0.19006231	6.33199596	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.56032395	2.51670289	0.88192771	456132.02182055	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	599.00000000	410.00000000	515.00000000	370.00000000	183.00000000	52.00000000	100.00000000	101.00000000	2131.00000000	0.03684263	0.13974220	72.51329803	0.25470373	0.81333333	0.00000000	361.10000000	4.97000027	12.50000000	81.62000275	399.79998779	1290.77001953	0.00000000	4445.81005859
0.00029319	-0.16373838	6.33118200	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.56032395	2.51670289	0.88192771	456136.05144548	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	599.00000000	410.00000000	515.00000000	370.00000000	183.00000000	52.00000000	100.00000000	101.00000000	2131.00000000	0.03661729	0.13882482	72.66661835	0.25456786	0.81333333	0.00000000	361.00000000	4.97000027	12.50000000	81.62000275	399.79998779	1290.77001953	0.00000000	4445.81005859
0.00035105	-0.20038454	6.33200693	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.63140881	2.51619673	0.88192771	456140.46684170	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	602.00000000	421.00000000	520.00000000	378.00000000	186.00000000	54.00000000	100.00000000	101.00000000	2163.00000000	0.03661729	0.13882482	72.66661835	0.25453347	0.81333333	0.00000000	361.00000000	4.98999977	12.93000031	81.68000031	414.76998901	1305.09997559	0.00000000	4692.02001953
0.00040894	-0.17913277	6.33219624	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.63140881	2.51619673	0.88192771	456144.69234848	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	602.00000000	421.00000000	520.00000000	378.00000000	186.00000000	54.00000000	100.00000000	101.00000000	2163.00000000	0.03661729	0.13882482	72.66661835	0.25471425	0.81333333	0.00000000	361.00000000	4.98999977	12.93000031	81.68000031	414.76998901	1305.09997559	0.00000000	4692.02001953
0.00046682	-0.21421544	6.33308840	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.61628771	2.51373243	0.88192771	456153.73155832	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	602.00000000	421.00000000	520.00000000	378.00000000	186.00000000	54.00000000	100.00000000	101.00000000	2163.00000000	0.03725703	0.14161494	72.20133209	0.25475535	0.81333333	0.00000000	361.00000000	4.98999977	12.93000031	81.68000031	414.76998901	1305.09997559	0.00000000	4692.02001953
0.00052468	-0.19983666	6.33220339	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.61628771	2.51373243	0.88192771	456157.74519014	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	602.00000000	421.00000000	520.00000000	378.00000000	186.00000000	54.00000000	100.00000000	101.00000000	2163.00000000	0.03725703	0.14161494	72.20133209	0.25487268	0.81333333	0.00000000	361.00000000	4.98999977	12.93000031	81.68000031	414.76998901	1305.09997559	0.00000000	4692.02001953
0.00058254	-0.19709416	6.33245182	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.56505644	2.51548791	0.88192771	456162.17657757	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	602.00000000	421.00000000	520.00000000	378.00000000	186.00000000	54.00000000	100.00000000	101.00000000	2163.00000000	0.03605950	0.13990155	72.48670197	0.25528684	0.81333333	0.00000000	361.00000000	5.01999998	12.93000031	81.26000214	404.98999023	1296.56005859	0.00000000	4444.08007812
0.00064041	-0.21700269	6.33251715	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.56505644	2.51548791	0.88192771	456166.01531172	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	598.00000000	420.00000000	518.00000000	378.00000000	183.00000000	53.00000000	100.00000000	101.00000000	2153.00000000	0.03605950	0.13990155	72.48670197	0.25538024	0.81333333	0.00000000	361.10000000	5.01999998	12.93000031	81.26000214	404.98999023	1296.56005859	0.00000000	4444.08007812
0.00069828	-0.19837396	6.33239985	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.62287831	2.51548791	0.88192771	456170.62359667	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	598.00000000	420.00000000	518.00000000	378.00000000	183.00000000	53.00000000	100.00000000	101.00000000	2153.00000000	0.03605950	0.13990155	72.48670197	0.25603968	0.81333333	0.00000000	361.10000000	5.01999998	12.93000031	81.26000214	404.98999023	1296.56005859	0.00000000	4444.08007812
0.00075616	-0.20379476	6.33190727	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.62287831	2.51548791	0.88192771	456175.03899193	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	598.00000000	420.00000000	518.00000000	378.00000000	183.00000000	53.00000000	100.00000000	101.00000000	2153.00000000	0.03570363	0.13974276	72.51320648	0.25588709	0.81333333	0.00000000	361.10000000	5.01999998	12.93000031	81.26000214	404.98999023	1296.56005859	0.00000000	4444.08007812
0.00081402	-0.19509189	6.33105659	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.62287831	2.50975800	0.88192771	456183.48601055	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	598.00000000	420.00000000	518.00000000	378.00000000	183.00000000	53.00000000	100.00000000	101.00000000	2153.00000000	0.03608710	0.14045092	72.39508057	0.25588539	0.81333333	0.00000000	361.00000000	5.01999998	12.93000031	81.26000214	404.98999023	1296.56005859	0.00000000	4444.08007812
0.00087191	-0.14454325	6.33163786	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.62287831	2.50975800	0.88192771	456187.70951891	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	598.00000000	420.00000000	518.00000000	378.00000000	183.00000000	53.00000000	100.00000000	101.00000000	2153.00000000	0.03608710	0.14045092	72.39508057	0.25618172	0.81333333	0.00000000	361.10000000	5.01999998	12.93000031	81.26000214	404.98999023	1296.56005859	0.00000000	4444.08007812
0.00092979	-0.18800005	6.33298159	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.54538417	2.50429821	0.88192771	456192.31680298	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	598.00000000	420.00000000	518.00000000	378.00000000	183.00000000	53.00000000	100.00000000	101.00000000	2153.00000000	0.03608710	0.14045092	72.39508057	0.25603999	0.81333333	0.00000000	361.10000000	5.01999998	12.93000031	81.26000214	404.98999023	1296.56005859	0.00000000	4444.08007812
0.00098765	-0.18635216	6.33310461	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.54538417	2.50429821	0.88192771	456196.34642553	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	588.00000000	422.00000000	526.00000000	371.00000000	183.00000000	56.00000000	100.00000000	101.00000000	2148.00000000	0.03767154	0.14054270	72.37978363	0.25584501	0.81333333	0.00000000	361.00000000	4.86999989	12.88000011	83.56999969	401.07998657	1299.52001953	0.00000000	4632.54003906
0.00104553	-0.20886445	6.33236742	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.46668255	2.50821686	0.88192771	456200.58592653	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	588.00000000	422.00000000	526.00000000	371.00000000	183.00000000	56.00000000	100.00000000	101.00000000	2148.00000000	0.03767154	0.14054270	72.37978363	0.25585371	0.81333333	0.00000000	361.10000000	4.86999989	12.88000011	83.56999969	401.07998657	1299.52001953	0.00000000	4632.54003906
0.00110339	-0.19642964	6.33190346	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.46668255	2.50821686	0.88192771	456205.00332165	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	588.00000000	422.00000000	526.00000000	371.00000000	183.00000000	56.00000000	100.00000000	101.00000000	2148.00000000	0.03659517	0.13987669	72.49085236	0.25570688	0.81333333	0.00000000	361.00000000	4.86999989	12.88000011	83.56999969	401.07998657	1299.52001953	0.00000000	4632.54003906
0.00116126	-0.18498193	6.33228111	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.52744997	2.50660491	0.88192771	456213.25745201	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	588.00000000	422.00000000	526.00000000	371.00000000	183.00000000	56.00000000	100.00000000	101.00000000	2148.00000000	0.03659517	0.13987669	72.49085236	0.25580999	0.81333333	0.00000000	361.00000000	4.86999989	12.88000011	83.56999969	401.07998657	1299.52001953	0.00000000	4632.54003906
0.00121913	-0.16891804	6.33170986	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.52744997	2.50660491	0.88192771	456218.05778313	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	597.00000000	406.00000000	521.00000000	373.00000000	187.00000000	54.00000000	100.00000000	101.00000000	2140.00000000	0.03739259	0.14080459	72.33615875	0.25569865	0.81333333	0.00000000	361.00000000	4.94999981	12.43999958	82.91000366	405.94000244	1325.08996582	0.00000000	4560.58984375
0.00127702	-0.17324933	6.33140850	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.49394989	2.51179504	0.88192771	456222.08940554	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	597.00000000	406.00000000	521.00000000	373.00000000	187.00000000	54.00000000	100.00000000	101.00000000	2140.00000000	0.03739259	0.14080459	72.33615875	0.25575432	0.81333333	0.00000000	361.00000000	4.94999981	12.43999958	82.91000366	405.94000244	1325.08996582	0.00000000	4560.58984375
0.00133488	-0.17747723	6.33202457	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.49394989	2.51179504	0.88192771	456226.31108952	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	597.00000000	406.00000000	521.00000000	373.00000000	187.00000000	54.00000000	100.00000000	101.00000000	2140.00000000	0.03801523	0.13978948	72.50541687	0.25593582	0.81333333	0.00000000	361.00000000	4.94999981	12.43999958	82.91000366	405.94000244	1325.08996582	0.00000000	4560.58984375
0.00139275	-0.18797223	6.33089781	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.52047944	2.52394891	0.88192771	456231.30514479	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	597.00000000	406.00000000	521.00000000	373.00000000	187.00000000	54.00000000	100.00000000	101.00000000	2140.00000000	0.03441565	0.13940167	72.57017517	0.25605756	0.81333333	0.00000000	361.00000000	4.94999981	12.43999958	82.91000366	405.94000244	1325.08996582	0.00000000	4560.58984375
0.00145063	-0.15014057	6.33262014	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.52047944	2.52394891	0.88192771	456235.14104319	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	597.00000000	406.00000000	521.00000000	373.00000000	187.00000000	54.00000000	100.00000000	101.00000000	2140.00000000	0.03441565	0.13940167	72.57017517	0.25616610	0.81333333	0.00000000	361.00000000	4.94999981	12.43999958	82.91000366	405.94000244	1325.08996582	0.00000000	4560.58984375
0.00150849	-0.16315125	6.33219242	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.61498034	2.51080871	0.88192771	456239.36455202	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	602.00000000	415.00000000	521.00000000	368.00000000	178.00000000	54.00000000	100.00000000	101.00000000	2141.00000000	0.03441565	0.13940167	72.57017517	0.25617570	0.81333333	0.00000000	361.10000000	4.98999977	12.89000034	81.66999817	401.23999023	1239.93005371	0.00000000	4674.08984375
0.00156636	-0.18899707	6.33201981	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.61498034	2.51080871	0.88192771	456248.00445747	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	602.00000000	415.00000000	521.00000000	368.00000000	178.00000000	54.00000000	100.00000000	101.00000000	2141.00000000	0.03681055	0.13970624	72.51931000	0.25597140	0.81333333	0.00000000	361.00000000	4.98999977	12.89000034	81.66999817	401.23999023	1239.93005371	0.00000000	4674.08984375
