Day fraction since midnight on 2/21/2021,2-3 μm,3-5 μm,5-9 μm,9-17 μm,17-33 μm,33-65 μm,Turb settled w/ blanket ()
0.002883236,265.31,233.96,567.05,1063.6,630.05,85.5,3.612499302
0.008670323,232.36,195.2,447.38,807.47,465.55,62.15,2.618486516
0.014457405,211.01,163.91,362.9899586,642.61,366.05,39.60963135,2.129797141
0.020244485,211.34,173.21,396.47,717.85,418.99,58.33,2.301703558
0.026031561,192.56,149.32,327.0700413,576.83,317.87,-4.29378E+12,1.803747005
0.031818637,193.6,150.04,330.19,590.52,332.51,42.73,1.860125761
0.037605707,186.26,139.28,297.15,518.77,277.97,33.48,1.590513023
0.043392776,170.57,118.08,232.82,384.44,198.01,23.12,1.139434988
0.049179842,164.82,110.45,214.61,357.52,193.64,23.57,1.090546105
0.054966903,162.2,107.85,208.67,360.16,199.48,25.48,1.160562725
0.060753966,168.63,115.93,229.05,376.16,180.39,20.17,1.038185637
0.066541025,164.82,109.7,202.75,309.89,138.72,14.86,0.836572909
0.072328081,152.34,92.94,157.82,231.33,105.3,11.96,0.667282077
0.078115135,143.74,86.58,139.86,205.52,94.76,10.94,0.614235848
0.083902189,139.82,81.81,132.45,196.01,94.12,-4.93E+35,0.588279379
0.089689242,134.45,75.63,111.04,155.89,71.05,-282129.78,0.476025671
0.095476293,132.87,73.6,103.62,143.28,67.5,8.37,0.473306032
0.101263341,135.04,75.95,112.87,169.28,88.62,11.82,0.594495266
0.107050389,133.08,73.45,110.45,162.93,83.74,10.47,0.538735042
0.112837435,136.2,82.87,142.7,245.57,143.67,5.85E+33,1.014174356
0.118624481,151.12,100.36,201.32,370.78,214.84,27.52,1.216705456
0.124411524,144.68,93.02,175.26,300.5,162.29,18.95000078,0.931788541
0.130198567,152.7,108.61,227.15,402.33,230.75,-5012.634959,1.484802549
0.135985608,138.76,84.14,150.89,250.17,135.53,16.76,0.781987009
0.141772651,132,79.69,136.91,215.57,107.25,-2.85E+26,0.642503091
0.147559692,128.34,73.36,115.3,173.72,82.34,9.33,0.521644935
0.153346729,125.65,67.78,99.6,139.26,66.3,7.72,0.428789199
0.159133768,118.19,61.78,81.6,108.49,49.3,5.56,0.358951966
0.164920807,118.93,60.03,77.42,99.18,48.34,5.72,0.330555557
0.170707985,125.4000001,69.8500001,107.7300001,172.8600001,96.8300001,-3.22E+24,0.573456562
0.176495314,127.43,72.41,118.14,190.9,101.9,12.73627808,0.6216982
0.182282638,129.95,74.15,117.53,182.16,92.66,10.48,0.560206708
0.188069943,123.59,68.44,102.6,150.75,71.07,7.54,0.432934544
0.19385723,118.27,60.34,80.21,110.5,52.91,5.8,0.351128314
0.199644504,131.81,78.91,131.65,191.02,93.73,11.96,0.710539568
0.205431761,114.71,54.88,65.67,83.88,39.91,4.74,0.295894562
0.211219006,117,59.46,79.63,114.38,59.21,32.92054688,0.392197097
0.217006258,125.28,67.34,100.43,153.1,78.8,9.13,0.965693964
0.22279352,134.33,78.74,127.97,195.15,102.53,13.08,0.766496477
0.228580768,125.38,65.23,91.11,132.63,66.12,2.93E+36,0.438362129
0.234368001,128.01,69.6,105.69,162.87,83.33,-1.09439E+11,0.525153884
0.240155222,122.38,65.15,95.64,139.79,67.88,15456345.63,0.439946435
0.245942432,124.96,67.12,101.02,146.76,71.69,8.33,0.508357165
0.251729632,117.43,60.81,83.22,115.08,53.8,2.31E+18,0.370420923
0.257516834,116.75,58.21,75.38,98.74,43.75,4.6,0.307623535
0.263304056,113.5,55.78,70.68,88.32,38.27,3.951328735,0.313949234
0.269091268,115.03,55.31,69.78,88.4,38.54,4.17,0.293808189
