Day fraction since midnight on 3/1/2021,2-3 µm,3-5 µm,5-9 µm,9-17 µm,17-33 µm,33-65 µm,Turb settled w/ blanket ()
0.002886927,108.78,42.54,24.01,4.2,0,0,0.092965175
0.008674054,107.22,41.01,23.78,4.16,0,1.90E+15,0.098176049
0.014461178,109.28,42.13,24.25,4.24,0,0,0.094554666
0.020248294,107.74,43.15,23.67,4.19,0.03,4.06E+27,0.094465275
0.026035406,107.82,42.69,24.16,4.16,0,0,0.093561494
0.031822518,106.5,41.66,23.71,4.08,0,4.06E+27,0.09325953
0.037609623,109.83,43.23,24.4,4.37,0,0,0.09404752
0.043396725,107.34,40.87,23.44,4.3,0.05,0,0.094373457
0.049183832,107.43,41.77,23.25,4.3,0,0,0.09387344
0.054970969,104.4800001,39.6700001,22.7600001,3.8900001,9.99E-08,890.8800001,0.094095587
0.060758105,106.63,40.87,22.82,3.89,0,-4.94E+30,0.09355483
0.066545235,105.24,40.29,22.13,3.78,0,-1.00E-06,0.094523435
0.072332361,107.23,41.08,23.58,4.2,0.04,0,0.094753014
0.078119483,106.65,40.89,22.82,4.27,0,0,0.094493108
0.083906599,106.92,41.27,23.12,4.23,0,0,0.096239763
0.089693721,105.46,40.79,23.25,4.04,0,0,0.093179066
0.095480885,104.9800001,40.2800001,22.1000001,3.7400001,0.0900001,9.99E-08,0.092882551
0.101268043,104.7,40.76,22.94,4.18,0.06,0,0.096076481
0.107055199,100.49,38.5,21.14,3.67,0,2.72E+21,0.089458498
0.112842345,100.57,38.9,21.38,3.99,0,-4.94E+30,0.090699829
0.118629487,100.34,38.51,21.64,3.91,0,4.00E-10,0.092938546
0.124416621,105.3,41.64,24.26,4.63,0.05,0,0.098028922
0.130203751,104.23,40.06,22.35,3.81,0,0,0.092226684
0.135990879,104.26,40.92,22.85,3.86,0.09,0,0.093256452
0.141777999,109.16,42.73,24.48,4.62,0.13,0.04,0.096062434
0.147565113,107.21,41.48,22.85,3.87,0,0,0.098265986
0.15335223,108.29,41.7,23.66,4.28,0.04,0,0.09707884
0.159139336,108.44,41.46,23.6,4.08,0,4.00E-10,0.095531871
0.164926442,107.99,42.98,24,4.15,0,0,0.095279817
0.170713544,110.33,43.37,24.06,4.17,0,0,0.095160116
0.176500641,107.75,42.04,23.77,4.01,0.04,0,0.092877119
0.182287735,103.77,40.62,22.53,3.99,0.05,0,0.093214135
0.188074829,104.5,41.27,22.97,4.08,0,0,0.092933667
0.193861918,102.5,40.69,23.04,3.91,0.05,1.90E+15,0.091088291
0.199649006,102.48,39.8,22.98,3.96,0,0,0.091001766
0.205436092,104.41,40.79,22.89,4,0,0,0.09010305
0.211223174,99.34,39.33,22.19,3.98,0,0,0.091062558
0.217010255,100.08,38.14,21.88,3.91,0,0,0.090138661
0.222797335,98.17,37.76,20.99,3.6,0.05,0,0.091489634
0.228584412,97.6,38.92,22.49,4.5,0.19,-0.715,0.092946538
0.234371487,95.1,36.76,21,3.63,0.05,-3.22E+24,0.09081782
0.24015856,93.73,36.93,21.15,3.69,0,-1.52E+12,0.091842283
0.245945633,96.12,37.42,21.31,3.77,0,0,0.089357548
0.251732703,91.99,36.06,19.92,3.42,0,8.12E+27,0.089765626
0.257519772,94.7,37.98,21.25,3.67,0.05,0,0.088849716
0.263306842,95.83,38,21.38,3.93,0,0,0.088006229
0.269093908,94.45,36.94,21.02,3.89,0,0,0.090158726
0.274880974,96.44,38.2,21.68,3.99,0,0,0.088370444
0.280668038,95.92,37.4,21.73,3.86,0,0,0.0875013
0.286455102,96.12,38.12,22.02,4.07,0,0,0.090778355
0.292242166,93.56,37.58,21.46,3.9,0.06,890.88,0.088846874
0.298029226,93.63,36.48,20.86,3.81,0,0,0.089041243
0.303816289,94.05,37.27,21.26,3.84,0,0,0.087470619
0.309603349,95.33,38.44,22.2,4.1,0,0,0.088927842
0.31539041,95.33,38.55,21.44,4.19,0.04,0,0.086065444
0.321177468,92.63,37.49,20.77,4.02,0,0,0.086059186
0.326964527,92.2,35.84,20.49,3.98,0,0,0.085419446
0.332751585,93.04,35.59,20.79,3.83,0,0,0.088250072
0.338538641,93.84,36.28,21.19,3.97,0,0,0.088315859
0.344325699,94.33,37.05,20.97,4.05,0,0,0.086791672
0.350112753,94.77,36.82,20.93,3.72,0,4.00E-10,0.089607379
0.35589981,100.14,40.2,22.97,4.52,0.13,0,0.097270448
0.361686866,95.45,38.12,20.52,3.83,0,0,0.090290207
0.367473922,96.79,37.22,20.61,3.46,0,890.88,0.089057315
0.373260978,97.96,37.96,21.5,3.83,0,0,0.089402683
0.379048033,98.31,38.05,21.19,3.77,0,1.90E+15,0.091305728
0.384835086,99.9,38.59,21.86,3.8,0,0,0.093141935
0.390622136,99.49,38.19,21.46,3.99,0,0,0.091442021
0.396409186,100.95,38.67,21.58,4.01,0,0,0.101610396
0.402196237,100.46,38.89,21.48,3.77,0.05,0,0.095882778
0.407983287,103.3200001,40.0700001,22.7000001,4.1700001,9.99E-08,9.99E-08,0.094151304
0.413770337,105.34,41.8,23.45,4.15,0,0,0.093618663
0.419557399,107.07,42.15,24.21,4.57,0,-3.22E+24,0.095030989
0.425344405,109.13,42.52,24.53,4.57,0,-3.22E+24,0.097408805
0.431131571,108.65,42.85,24.49,4.71,0,0,0.096115609
0.436918907,108.26,42.64,24.47,4.64,0.05,0,0.09643071
0.442706223,105.92,41.6,23.96,4.36,0,1.90E+15,0.096470311
0.448493522,105.53,41.34,23.24,4.22,0,0,0.094156082
0.454280805,108.03,41.57,22.82,4,0.09,-5.01E-07,0.097184883
0.460068074,136.27,54.84,35.34,11.9,3.28,0.54,0.159328234
0.465855327,138.89,57.52,36.74,11.5,2.4,1.90E+15,0.143024952
0.471642565,141.17,59.69,39.14,12.12,2.06,0.05,0.138301875
0.477429793,136.33,57.16,37.26,11.28,1.8,0,0.138699159
0.483217007,131.36,54.77,35.23,10.27,1.36,0,0.129638081
0.489004211,120.05,49.46,30.21,7.87,0.93,0,0.112251029
0.494791405,114.030303,46.33333333,27.11111111,6.333333333,0.838383838,-4.99E+30,0.106505936
0.500578587,146.5353535,63.01010101,46.73737374,18.96969697,4.919191919,1.121212121,0.163352803
0.506365773,949.23,467.6,411.81,211.47,71.22,21.82,1.285346753
0.512152999,2074.555556,1023.616162,875.7777778,418.6969697,126.4747475,33.81818182,2.448885417
0.517940218,2416.909091,1151.10101,936.2727273,406.8080808,111.8484848,28.34343434,2.622487653
0.523727423,2161.87,970.95,754.51,322.7,89.74,25.08,2.327296068
0.529514621,1875.49,805.76,618.94,266.45,72.97,20.55,2.040841225
0.535301806,1692.171717,714.1616162,547.7373737,240.8080808,64.65656566,19.53535354,1.815547046
0.541088983,1565.878788,651.7070707,499.959596,221.7070707,59.38383838,18.38383838,1.709964227
0.546876154,1450.515152,600.4343434,460.8888889,204.6565657,53.21212121,16.23232323,1.552911447
0.552663355,1355.141414,559.8282828,432.1212121,194.9393939,50.23232323,15.31313131,1.456973858
0.55845055,1287.252525,526.5252525,411.7575758,184.2323232,47.66666667,14.74747475,1.413423846
0.564237736,1220.76,503.74,392.14,176.75,43.33,13.83,1.332702209
0.570024914,1153.78,475.67,374.32,168.81,41.91,13.66,1.291085244
0.575812082,1049.94,428.04,341.09,154.15,37.34,13.10204082,1.223736982
0.58159924,998.31,406.29,328.35,149.26,36.4,13.04,1.193539363
0.587386393,948.06,387.62,316.93,145.09,34.64,12.59,1.141781046
0.593173537,877.2424242,359.6969697,296.8383838,133.7373737,31.42424242,12,1.123516396
0.598960674,835.7070707,346.2222222,284.9090909,130.4242424,30.8989899,12.19191919,1.083260168
0.604747804,798.3737374,330.7171717,277.989899,124.4545455,28.53535354,10.90909091,1.011057725
0.61053493,754.14,315.67,264.2,118.29,25.75,10.14,0.967049283
0.616322045,707.6,297.11,256.95,111.8,24.24,9.79,0.916906635
0.62210916,668.62,285.15,245.08,106.62,21.79,8.73,0.866861271
0.627896269,641.67,275.7,239.51,103.23,20.46,8.16,0.829068894
0.633683372,615.4949495,267.2525253,236.2626263,101.5050505,20.36363636,8.121212121,0.829216317
0.639470469,589.93,257.72,227.79,94.84,17.57,7.75,0.778111747
0.645257564,558.2,247.92,219,89.2,15.96,6.8,0.909645233
0.651044653,525.46,234.44,207.86,82.88,13.84,6.48,0.707171679
0.656831742,490.1717172,220.9292929,196.4747475,76.06060606,11.88888889,5.333333333,0.648287454
0.662618825,461.8585859,208.4343434,183.7979798,69.31313131,10.31313131,4.939393939,0.620890461
0.668405902,442.4141414,200.5454545,176.4141414,65.3030303,9.424242424,4.353535354,0.612754348
0.674192978,407.85,186.97,167.65,60.29,7.62,3.56,0.558948265
0.679980053,378.6363636,174.3030303,156.6767677,54.94949495,6.626262626,3.080808081,0.540442075
0.685767124,355.14,165.28,146.89,50.37,5.5,3.04,0.501050209
0.691554192,329.6326531,155,137.6530612,45.18367347,4.775510204,2.612244898,0.481601717
0.697341258,314.8,148.9,131.99,42.54,4.09,2.55,0.467856082
0.703128322,299.4343434,142.2020202,125.969697,39.35353535,3.585858586,1.98989899,0.435931239
0.708915384,284.7575758,135.1818182,121.2626263,36.5959596,3.181818182,1.858585859,0.422901199
0.714702442,270.3838384,130.1212121,115.9191919,33.96969697,3.050505051,1.787878788,0.413117318
0.720489498,259.4141414,126.4242424,112.6464646,34.3030303,3.525252525,2.060606061,0.47077437
0.726276555,241.3737374,118.3737374,103.7272727,29.26262626,2.252525253,1.595959596,0.382609261
0.732063609,231.4747475,113.1818182,99.56565657,27.67676768,2.212121212,1.696969697,0.378846635
0.737850661,221.5,109.75,95.83,25.54,2.21,1.41,0.358464557
0.743637712,215.9387755,109.4387755,96.05102041,25.66326531,2.255102041,1.755102041,0.457500812
0.749424763,205.24,103.95,89.4,22.9,1.49,1.34,0.3400633
0.755211808,200.28,100.9,86.15,21.12,1.41,1.1,0.319506773
0.760998858,193.45,98.06,83.45,19.59,1.25,1.15,0.304755176
0.766785903,186.23,94.48,81.52,19.05,1.16,1.12,0.303610613
0.772572946,180.7373737,91.90909091,78.49494949,18.31313131,1.090909091,1.060606061,0.298675297
0.77835999,175.1616162,90.39393939,76.13131313,16.95959596,1.141414141,1,0.289092215
0.784147031,171.45,88.62,74.68,16.27,1.17,1.06,0.287206388
0.789934075,167.9090909,86.90909091,73.12121212,16.64646465,1.434343434,1.222222222,0.329234184
0.795721118,163.07,84.43,69.01,14.55,1.06,1,0.275389548
0.801508158,159.1919192,82.31313131,66.8989899,14.36363636,0.898989899,1.04040404,0.261506188
0.80729524,155.7474747,80.08080808,65.7979798,13.90909091,0.949494949,1,0.266393373
0.813082528,152.040404,77.35353535,63.67676768,12.87878788,0.98989899,1,0.25503021
0.818869829,151.6600001,78.1800001,63.0800001,12.6200001,0.9600001,1.0500001,0.281595637
0.824657117,148.58,77.78,63.11,12.33,0.91,1,0.250061078
0.830444388,153.0808081,80.98989899,67.51515152,18.63636364,4.363636364,2.383838384,0.378364368
0.836231644,141.7676768,73.41414141,58.95959596,11.21212121,0.939393939,1.060606061,0.244356674
0.842018911,140,72.17171717,57.33333333,11.14141414,0.808080808,1.090909091,0.249829367
0.847806189,137.4141414,70.77777778,57.09090909,10.66666667,0.94,0.95959596,0.237932363
0.853593454,135.4747475,70.60606061,54.37373737,10.14141414,0.79,0.949494949,0.227457411
0.859380702,133.25,70,53.97,9.62,0.75,0.94,0.225091739
0.865167938,132.79,68.31,53.97,10.33,1,1.16,0.231480282
0.870955162,129.4081633,66.23469388,50.45918367,9.010204082,0.737373737,1,0.21436444
